source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,12tet_reference
C+2,C+2,00,C+2=C+2+00 cents,12tet_reference
D2,D2,00,D2=D2+00 cents,12tet_reference
D+2,D+2,00,D+2=D+2+00 cents,12tet_reference
E2,E2,00,E2=E2+00 cents,12tet_reference
F2,F2,00,F2=F2+00 cents,12tet_reference
F+2,F+2,00,F+2=F+2+00 cents,12tet_reference
G2,G2,00,G2=G2+00 cents,12tet_reference
G+2,G+2,00,G+2=G+2+00 cents,12tet_reference
A2,A2,00,A2=A2+00 cents,12tet_reference
A+2,A+2,00,A+2=A+2+00 cents,12tet_reference
B2,B2,00,B2=B2+00 cents,12tet_reference
C3,C3,00,C3=C3+00 cents,12tet_reference
C+3,C+3,00,C+3=C+3+00 cents,12tet_reference
D3,D3,00,D3=D3+00 cents,12tet_reference
D+3,D+3,00,D+3=D+3+00 cents,12tet_reference
E3,E3,00,E3=E3+00 cents,12tet_reference
F3,F3,00,F3=F3+00 cents,12tet_reference
F+3,F+3,00,F+3=F+3+00 cents,12tet_reference
G3,G3,00,G3=G3+00 cents,12tet_reference
G+3,G+3,00,G+3=G+3+00 cents,12tet_reference
A3,A3,00,A3=A3+00 cents,12tet_reference
A+3,A+3,00,A+3=A+3+00 cents,12tet_reference
B3,B3,00,B3=B3+00 cents,12tet_reference
C4,C4,00,C4=C4+00 cents,12tet_reference
C+4,C+4,00,C+4=C+4+00 cents,12tet_reference
D4,D4,00,D4=D4+00 cents,12tet_reference
D+4,D+4,00,D+4=D+4+00 cents,12tet_reference
E4,E4,00,E4=E4+00 cents,12tet_reference
F4,F4,00,F4=F4+00 cents,12tet_reference
F+4,F+4,00,F+4=F+4+00 cents,12tet_reference
G4,G4,00,G4=G4+00 cents,12tet_reference
G+4,G+4,00,G+4=G+4+00 cents,12tet_reference
A4,A4,00,A4=A4+00 cents,12tet_reference
A+4,A+4,00,A+4=A+4+00 cents,12tet_reference
B4,B4,00,B4=B4+00 cents,12tet_reference
C5,C5,00,C5=C5+00 cents,12tet_reference
C+5,C+5,00,C+5=C+5+00 cents,12tet_reference
D5,D5,00,D5=D5+00 cents,12tet_reference
D+5,D+5,00,D+5=D+5+00 cents,12tet_reference
E5,E5,00,E5=E5+00 cents,12tet_reference
F5,F5,00,F5=F5+00 cents,12tet_reference
F+5,F+5,00,F+5=F+5+00 cents,12tet_reference
G5,G5,00,G5=G5+00 cents,12tet_reference
G+5,G+5,00,G+5=G+5+00 cents,12tet_reference
A5,A5,00,A5=A5+00 cents,12tet_reference
A+5,A+5,00,A+5=A+5+00 cents,12tet_reference
B5,B5,00,B5=B5+00 cents,12tet_reference
C6,C6,00,C6=C6+00 cents,12tet_reference
C+6,C+6,00,C+6=C+6+00 cents,12tet_reference
D6,D6,00,D6=D6+00 cents,12tet_reference
D+6,D+6,00,D+6=D+6+00 cents,12tet_reference
E6,E6,00,E6=E6+00 cents,12tet_reference
F6,F6,00,F6=F6+00 cents,12tet_reference
F+6,F+6,00,F+6=F+6+00 cents,12tet_reference
G6,G6,00,G6=G6+00 cents,12tet_reference
G+6,G+6,00,G+6=G+6+00 cents,12tet_reference
A6,A6,00,A6=A6+00 cents,12tet_reference
A+6,A+6,00,A+6=A+6+00 cents,12tet_reference
B6,B6,00,B6=B6+00 cents,12tet_reference
C7,C7,00,C7=C7+00 cents,12tet_reference
