source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
A0,A0,00,27.50,A0=A0 00 cents,edo_19_diatonic7_88key
A0+,A0+,89,30.68,A0+=A0+ 89 cents,edo_19_diatonic7_88key
B0,A0+,89,30.68,B0=A0+ 89 cents,edo_19_diatonic7_88key
C1,C1,79,34.23,C1=C1 79 cents,edo_19_diatonic7_88key
C1+,C1,79,34.23,C1+=C1 79 cents,edo_19_diatonic7_88key
D1,D1,05,36.82,D1=D1 05 cents,edo_19_diatonic7_88key
D1+,D1,05,36.82,D1+=D1 05 cents,edo_19_diatonic7_88key
E1,D1+,95,41.08,E1=D1+ 95 cents,edo_19_diatonic7_88key
F1,F1,84,45.83,F1=F1 84 cents,edo_19_diatonic7_88key
F1+,F1,84,45.83,F1+=F1 84 cents,edo_19_diatonic7_88key
G1,G1,74,51.13,G1=G1 74 cents,edo_19_diatonic7_88key
G1+,G1,74,51.13,G1+=G1 74 cents,edo_19_diatonic7_88key
A1,A1,00,55.00,A1=A1 00 cents,edo_19_diatonic7_88key
A1+,A1+,89,61.36,A1+=A1+ 89 cents,edo_19_diatonic7_88key
B1,A1+,89,61.36,B1=A1+ 89 cents,edo_19_diatonic7_88key
C2,C2,79,68.46,C2=C2 79 cents,edo_19_diatonic7_88key
C2+,C2,79,68.46,C2+=C2 79 cents,edo_19_diatonic7_88key
D2,D2,05,73.64,D2=D2 05 cents,edo_19_diatonic7_88key
D2+,D2,05,73.64,D2+=D2 05 cents,edo_19_diatonic7_88key
E2,D2+,95,82.16,E2=D2+ 95 cents,edo_19_diatonic7_88key
F2,F2,84,91.66,F2=F2 84 cents,edo_19_diatonic7_88key
F2+,F2,84,91.66,F2+=F2 84 cents,edo_19_diatonic7_88key
G2,G2,74,102.26,G2=G2 74 cents,edo_19_diatonic7_88key
G2+,G2,74,102.26,G2+=G2 74 cents,edo_19_diatonic7_88key
A2,A2,00,110.00,A2=A2 00 cents,edo_19_diatonic7_88key
A2+,A2+,89,122.72,A2+=A2+ 89 cents,edo_19_diatonic7_88key
B2,A2+,89,122.72,B2=A2+ 89 cents,edo_19_diatonic7_88key
C3,C3,79,136.92,C3=C3 79 cents,edo_19_diatonic7_88key
C3+,C3,79,136.92,C3+=C3 79 cents,edo_19_diatonic7_88key
D3,D3,05,147.28,D3=D3 05 cents,edo_19_diatonic7_88key
D3+,D3,05,147.28,D3+=D3 05 cents,edo_19_diatonic7_88key
E3,D3+,95,164.31,E3=D3+ 95 cents,edo_19_diatonic7_88key
F3,F3,84,183.32,F3=F3 84 cents,edo_19_diatonic7_88key
F3+,F3,84,183.32,F3+=F3 84 cents,edo_19_diatonic7_88key
G3,G3,74,204.52,G3=G3 74 cents,edo_19_diatonic7_88key
G3+,G3,74,204.52,G3+=G3 74 cents,edo_19_diatonic7_88key
A3,A3,00,220.00,A3=A3 00 cents,edo_19_diatonic7_88key
A3+,A3+,89,245.44,A3+=A3+ 89 cents,edo_19_diatonic7_88key
B3,A3+,89,245.44,B3=A3+ 89 cents,edo_19_diatonic7_88key
C4,C4,79,273.83,C4=C4 79 cents,edo_19_diatonic7_88key
C4+,C4,79,273.83,C4+=C4 79 cents,edo_19_diatonic7_88key
D4,D4,05,294.56,D4=D4 05 cents,edo_19_diatonic7_88key
D4+,D4,05,294.56,D4+=D4 05 cents,edo_19_diatonic7_88key
E4,D4+,95,328.63,E4=D4+ 95 cents,edo_19_diatonic7_88key
F4,F4,84,366.64,F4=F4 84 cents,edo_19_diatonic7_88key
F4+,F4,84,366.64,F4+=F4 84 cents,edo_19_diatonic7_88key
G4,G4,74,409.04,G4=G4 74 cents,edo_19_diatonic7_88key
G4+,G4,74,409.04,G4+=G4 74 cents,edo_19_diatonic7_88key
A4,A4,00,440.00,A4=A4 00 cents,edo_19_diatonic7_88key
A4+,A4+,89,490.89,A4+=A4+ 89 cents,edo_19_diatonic7_88key
B4,A4+,89,490.89,B4=A4+ 89 cents,edo_19_diatonic7_88key
C5,C5,79,547.66,C5=C5 79 cents,edo_19_diatonic7_88key
C5+,C5,79,547.66,C5+=C5 79 cents,edo_19_diatonic7_88key
D5,D5,05,589.12,D5=D5 05 cents,edo_19_diatonic7_88key
D5+,D5,05,589.12,D5+=D5 05 cents,edo_19_diatonic7_88key
E5,D5+,95,657.25,E5=D5+ 95 cents,edo_19_diatonic7_88key
F5,F5,84,733.27,F5=F5 84 cents,edo_19_diatonic7_88key
F5+,F5,84,733.27,F5+=F5 84 cents,edo_19_diatonic7_88key
G5,G5,74,818.08,G5=G5 74 cents,edo_19_diatonic7_88key
G5+,G5,74,818.08,G5+=G5 74 cents,edo_19_diatonic7_88key
A5,A5,00,880.00,A5=A5 00 cents,edo_19_diatonic7_88key
A5+,A5+,89,981.78,A5+=A5+ 89 cents,edo_19_diatonic7_88key
B5,A5+,89,981.78,B5=A5+ 89 cents,edo_19_diatonic7_88key
C6,C6,79,1095.33,C6=C6 79 cents,edo_19_diatonic7_88key
C6+,C6,79,1095.33,C6+=C6 79 cents,edo_19_diatonic7_88key
D6,D6,05,1178.24,D6=D6 05 cents,edo_19_diatonic7_88key
D6+,D6,05,1178.24,D6+=D6 05 cents,edo_19_diatonic7_88key
E6,D6+,95,1314.51,E6=D6+ 95 cents,edo_19_diatonic7_88key
F6,F6,84,1466.54,F6=F6 84 cents,edo_19_diatonic7_88key
F6+,F6,84,1466.54,F6+=F6 84 cents,edo_19_diatonic7_88key
G6,G6,74,1636.16,G6=G6 74 cents,edo_19_diatonic7_88key
G6+,G6,74,1636.16,G6+=G6 74 cents,edo_19_diatonic7_88key
A6,A6,00,1760.00,A6=A6 00 cents,edo_19_diatonic7_88key
A6+,A6+,89,1963.56,A6+=A6+ 89 cents,edo_19_diatonic7_88key
B6,A6+,89,1963.56,B6=A6+ 89 cents,edo_19_diatonic7_88key
C7,C7,79,2190.66,C7=C7 79 cents,edo_19_diatonic7_88key
C7+,C7,79,2190.66,C7+=C7 79 cents,edo_19_diatonic7_88key
D7,D7,05,2356.47,D7=D7 05 cents,edo_19_diatonic7_88key
D7+,D7,05,2356.47,D7+=D7 05 cents,edo_19_diatonic7_88key
E7,D7+,95,2629.02,E7=D7+ 95 cents,edo_19_diatonic7_88key
F7,F7,84,2933.08,F7=F7 84 cents,edo_19_diatonic7_88key
F7+,F7,84,2933.08,F7+=F7 84 cents,edo_19_diatonic7_88key
G7,G7,74,3272.32,G7=G7 74 cents,edo_19_diatonic7_88key
G7+,G7,74,3272.32,G7+=G7 74 cents,edo_19_diatonic7_88key
A7,A7,00,3520.00,A7=A7 00 cents,edo_19_diatonic7_88key
A7+,A7+,89,3927.12,A7+=A7+ 89 cents,edo_19_diatonic7_88key
B7,A7+,89,3927.12,B7=A7+ 89 cents,edo_19_diatonic7_88key
C8,C8,79,4381.32,C8=C8 79 cents,edo_19_diatonic7_88key
