source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
A0,A0,00,27.50,A0=A0 00 cents,edo_31_orwell9_88key
A0+,A0+,16,29.41,A0+=A0+ 16 cents,edo_31_orwell9_88key
B0,B0,32,31.45,B0=B0 32 cents,edo_31_orwell9_88key
C1,B0,32,31.45,C1=B0 32 cents,edo_31_orwell9_88key
C1+,C1,87,34.39,C1+=C1 87 cents,edo_31_orwell9_88key
D1,D1,03,36.78,D1=D1 03 cents,edo_31_orwell9_88key
D1+,D1+,19,39.33,D1+=D1+ 19 cents,edo_31_orwell9_88key
E1,E1,74,43.01,E1=E1 74 cents,edo_31_orwell9_88key
F1,E1,74,43.01,F1=E1 74 cents,edo_31_orwell9_88key
F1+,F1,90,45.99,F1+=F1 90 cents,edo_31_orwell9_88key
G1,G1,45,50.29,G1=G1 45 cents,edo_31_orwell9_88key
G1+,G1,45,50.29,G1+=G1 45 cents,edo_31_orwell9_88key
A1,A1,00,55.00,A1=A1 00 cents,edo_31_orwell9_88key
A1+,A1+,16,58.82,A1+=A1+ 16 cents,edo_31_orwell9_88key
B1,B1,32,62.90,B1=B1 32 cents,edo_31_orwell9_88key
C2,B1,32,62.90,C2=B1 32 cents,edo_31_orwell9_88key
C2+,C2,87,68.78,C2+=C2 87 cents,edo_31_orwell9_88key
D2,D2,03,73.55,D2=D2 03 cents,edo_31_orwell9_88key
D2+,D2+,19,78.66,D2+=D2+ 19 cents,edo_31_orwell9_88key
E2,E2,74,86.02,E2=E2 74 cents,edo_31_orwell9_88key
F2,E2,74,86.02,F2=E2 74 cents,edo_31_orwell9_88key
F2+,F2,90,91.98,F2+=F2 90 cents,edo_31_orwell9_88key
G2,G2,45,100.59,G2=G2 45 cents,edo_31_orwell9_88key
G2+,G2,45,100.59,G2+=G2 45 cents,edo_31_orwell9_88key
A2,A2,00,110.00,A2=A2 00 cents,edo_31_orwell9_88key
A2+,A2+,16,117.63,A2+=A2+ 16 cents,edo_31_orwell9_88key
B2,B2,32,125.79,B2=B2 32 cents,edo_31_orwell9_88key
C3,B2,32,125.79,C3=B2 32 cents,edo_31_orwell9_88key
C3+,C3,87,137.56,C3+=C3 87 cents,edo_31_orwell9_88key
D3,D3,03,147.11,D3=D3 03 cents,edo_31_orwell9_88key
D3+,D3+,19,157.31,D3+=D3+ 19 cents,edo_31_orwell9_88key
E3,E3,74,172.03,E3=E3 74 cents,edo_31_orwell9_88key
F3,E3,74,172.03,F3=E3 74 cents,edo_31_orwell9_88key
F3+,F3,90,183.97,F3+=F3 90 cents,edo_31_orwell9_88key
G3,G3,45,201.18,G3=G3 45 cents,edo_31_orwell9_88key
G3+,G3,45,201.18,G3+=G3 45 cents,edo_31_orwell9_88key
A3,A3,00,220.00,A3=A3 00 cents,edo_31_orwell9_88key
A3+,A3+,16,235.26,A3+=A3+ 16 cents,edo_31_orwell9_88key
B3,B3,32,251.59,B3=B3 32 cents,edo_31_orwell9_88key
C4,B3,32,251.59,C4=B3 32 cents,edo_31_orwell9_88key
C4+,C4,87,275.12,C4+=C4 87 cents,edo_31_orwell9_88key
D4,D4,03,294.21,D4=D4 03 cents,edo_31_orwell9_88key
D4+,D4+,19,314.62,D4+=D4+ 19 cents,edo_31_orwell9_88key
E4,E4,74,344.06,E4=E4 74 cents,edo_31_orwell9_88key
F4,E4,74,344.06,F4=E4 74 cents,edo_31_orwell9_88key
F4+,F4,90,367.93,F4+=F4 90 cents,edo_31_orwell9_88key
G4,G4,45,402.36,G4=G4 45 cents,edo_31_orwell9_88key
G4+,G4,45,402.36,G4+=G4 45 cents,edo_31_orwell9_88key
A4,A4,00,440.00,A4=A4 00 cents,edo_31_orwell9_88key
A4+,A4+,16,470.53,A4+=A4+ 16 cents,edo_31_orwell9_88key
B4,B4,32,503.17,B4=B4 32 cents,edo_31_orwell9_88key
C5,B4,32,503.17,C5=B4 32 cents,edo_31_orwell9_88key
C5+,C5,87,550.25,C5+=C5 87 cents,edo_31_orwell9_88key
D5,D5,03,588.42,D5=D5 03 cents,edo_31_orwell9_88key
D5+,D5+,19,629.25,D5+=D5+ 19 cents,edo_31_orwell9_88key
E5,E5,74,688.12,E5=E5 74 cents,edo_31_orwell9_88key
F5,E5,74,688.12,F5=E5 74 cents,edo_31_orwell9_88key
F5+,F5,90,735.86,F5+=F5 90 cents,edo_31_orwell9_88key
G5,G5,45,804.71,G5=G5 45 cents,edo_31_orwell9_88key
G5+,G5,45,804.71,G5+=G5 45 cents,edo_31_orwell9_88key
A5,A5,00,880.00,A5=A5 00 cents,edo_31_orwell9_88key
A5+,A5+,16,941.05,A5+=A5+ 16 cents,edo_31_orwell9_88key
B5,B5,32,1006.34,B5=B5 32 cents,edo_31_orwell9_88key
C6,B5,32,1006.34,C6=B5 32 cents,edo_31_orwell9_88key
C6+,C6,87,1100.50,C6+=C6 87 cents,edo_31_orwell9_88key
D6,D6,03,1176.85,D6=D6 03 cents,edo_31_orwell9_88key
D6+,D6+,19,1258.50,D6+=D6+ 19 cents,edo_31_orwell9_88key
E6,E6,74,1376.24,E6=E6 74 cents,edo_31_orwell9_88key
F6,E6,74,1376.24,F6=E6 74 cents,edo_31_orwell9_88key
F6+,F6,90,1471.73,F6+=F6 90 cents,edo_31_orwell9_88key
G6,G6,45,1609.42,G6=G6 45 cents,edo_31_orwell9_88key
G6+,G6,45,1609.42,G6+=G6 45 cents,edo_31_orwell9_88key
A6,A6,00,1760.00,A6=A6 00 cents,edo_31_orwell9_88key
A6+,A6+,16,1882.11,A6+=A6+ 16 cents,edo_31_orwell9_88key
B6,B6,32,2012.69,B6=B6 32 cents,edo_31_orwell9_88key
C7,B6,32,2012.69,C7=B6 32 cents,edo_31_orwell9_88key
C7+,C7,87,2201.00,C7+=C7 87 cents,edo_31_orwell9_88key
D7,D7,03,2353.70,D7=D7 03 cents,edo_31_orwell9_88key
D7+,D7+,19,2517.00,D7+=D7+ 19 cents,edo_31_orwell9_88key
E7,E7,74,2752.49,E7=E7 74 cents,edo_31_orwell9_88key
F7,E7,74,2752.49,F7=E7 74 cents,edo_31_orwell9_88key
F7+,F7,90,2943.46,F7+=F7 90 cents,edo_31_orwell9_88key
G7,G7,45,3218.85,G7=G7 45 cents,edo_31_orwell9_88key
G7+,G7,45,3218.85,G7+=G7 45 cents,edo_31_orwell9_88key
A7,A7,00,3520.00,A7=A7 00 cents,edo_31_orwell9_88key
A7+,A7+,16,3764.22,A7+=A7+ 16 cents,edo_31_orwell9_88key
B7,B7,32,4025.38,B7=B7 32 cents,edo_31_orwell9_88key
C8,B7,32,4025.38,C8=B7 32 cents,edo_31_orwell9_88key
