source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,turkish_hicaz_a_aeu_approx
C+2,C2,86,C+2=C2+86 cents,turkish_hicaz_a_aeu_approx
D2,C+2,98,D2=C+2+98 cents,turkish_hicaz_a_aeu_approx
D+2,D+2,00,D+2=D+2+00 cents,turkish_hicaz_a_aeu_approx
E2,E2,02,E2=E2+02 cents,turkish_hicaz_a_aeu_approx
F2,F2,14,F2=F2+14 cents,turkish_hicaz_a_aeu_approx
F+2,F+2,00,F+2=F+2+00 cents,turkish_hicaz_a_aeu_approx
G2,F+2,88,G2=F+2+88 cents,turkish_hicaz_a_aeu_approx
G+2,G+2,00,G+2=G+2+00 cents,turkish_hicaz_a_aeu_approx
A2,A2,00,A2=A2+00 cents,turkish_hicaz_a_aeu_approx
A+2,A+2,13,A+2=A+2+13 cents,turkish_hicaz_a_aeu_approx
B2,B2,00,B2=B2+00 cents,turkish_hicaz_a_aeu_approx
C3,C3,00,C3=C3+00 cents,turkish_hicaz_a_aeu_approx
C+3,C3,86,C+3=C3+86 cents,turkish_hicaz_a_aeu_approx
D3,C+3,98,D3=C+3+98 cents,turkish_hicaz_a_aeu_approx
D+3,D+3,00,D+3=D+3+00 cents,turkish_hicaz_a_aeu_approx
E3,E3,02,E3=E3+02 cents,turkish_hicaz_a_aeu_approx
F3,F3,14,F3=F3+14 cents,turkish_hicaz_a_aeu_approx
F+3,F+3,00,F+3=F+3+00 cents,turkish_hicaz_a_aeu_approx
G3,F+3,88,G3=F+3+88 cents,turkish_hicaz_a_aeu_approx
G+3,G+3,00,G+3=G+3+00 cents,turkish_hicaz_a_aeu_approx
A3,A3,00,A3=A3+00 cents,turkish_hicaz_a_aeu_approx
A+3,A+3,13,A+3=A+3+13 cents,turkish_hicaz_a_aeu_approx
B3,B3,00,B3=B3+00 cents,turkish_hicaz_a_aeu_approx
C4,C4,00,C4=C4+00 cents,turkish_hicaz_a_aeu_approx
C+4,C4,86,C+4=C4+86 cents,turkish_hicaz_a_aeu_approx
D4,C+4,98,D4=C+4+98 cents,turkish_hicaz_a_aeu_approx
D+4,D+4,00,D+4=D+4+00 cents,turkish_hicaz_a_aeu_approx
E4,E4,02,E4=E4+02 cents,turkish_hicaz_a_aeu_approx
F4,F4,14,F4=F4+14 cents,turkish_hicaz_a_aeu_approx
F+4,F+4,00,F+4=F+4+00 cents,turkish_hicaz_a_aeu_approx
G4,F+4,88,G4=F+4+88 cents,turkish_hicaz_a_aeu_approx
G+4,G+4,00,G+4=G+4+00 cents,turkish_hicaz_a_aeu_approx
A4,A4,00,A4=A4+00 cents,turkish_hicaz_a_aeu_approx
A+4,A+4,13,A+4=A+4+13 cents,turkish_hicaz_a_aeu_approx
B4,B4,00,B4=B4+00 cents,turkish_hicaz_a_aeu_approx
C5,C5,00,C5=C5+00 cents,turkish_hicaz_a_aeu_approx
C+5,C5,86,C+5=C5+86 cents,turkish_hicaz_a_aeu_approx
D5,C+5,98,D5=C+5+98 cents,turkish_hicaz_a_aeu_approx
D+5,D+5,00,D+5=D+5+00 cents,turkish_hicaz_a_aeu_approx
E5,E5,02,E5=E5+02 cents,turkish_hicaz_a_aeu_approx
F5,F5,14,F5=F5+14 cents,turkish_hicaz_a_aeu_approx
F+5,F+5,00,F+5=F+5+00 cents,turkish_hicaz_a_aeu_approx
G5,F+5,88,G5=F+5+88 cents,turkish_hicaz_a_aeu_approx
G+5,G+5,00,G+5=G+5+00 cents,turkish_hicaz_a_aeu_approx
A5,A5,00,A5=A5+00 cents,turkish_hicaz_a_aeu_approx
A+5,A+5,13,A+5=A+5+13 cents,turkish_hicaz_a_aeu_approx
B5,B5,00,B5=B5+00 cents,turkish_hicaz_a_aeu_approx
C6,C6,00,C6=C6+00 cents,turkish_hicaz_a_aeu_approx
C+6,C6,86,C+6=C6+86 cents,turkish_hicaz_a_aeu_approx
D6,C+6,98,D6=C+6+98 cents,turkish_hicaz_a_aeu_approx
D+6,D+6,00,D+6=D+6+00 cents,turkish_hicaz_a_aeu_approx
E6,E6,02,E6=E6+02 cents,turkish_hicaz_a_aeu_approx
F6,F6,14,F6=F6+14 cents,turkish_hicaz_a_aeu_approx
F+6,F+6,00,F+6=F+6+00 cents,turkish_hicaz_a_aeu_approx
G6,F+6,88,G6=F+6+88 cents,turkish_hicaz_a_aeu_approx
G+6,G+6,00,G+6=G+6+00 cents,turkish_hicaz_a_aeu_approx
A6,A6,00,A6=A6+00 cents,turkish_hicaz_a_aeu_approx
A+6,A+6,13,A+6=A+6+13 cents,turkish_hicaz_a_aeu_approx
B6,B6,00,B6=B6+00 cents,turkish_hicaz_a_aeu_approx
C7,C7,00,C7=C7+00 cents,turkish_hicaz_a_aeu_approx
