source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,balkan_gaida_thracian_e_centered
C+2,C+2,10,C+2=C+2+10 cents,balkan_gaida_thracian_e_centered
D2,D2,00,D2=D2+00 cents,balkan_gaida_thracian_e_centered
D+2,D+2,00,D+2=D+2+00 cents,balkan_gaida_thracian_e_centered
E2,E2,00,E2=E2+00 cents,balkan_gaida_thracian_e_centered
F2,F2,00,F2=F2+00 cents,balkan_gaida_thracian_e_centered
F+2,F2,65,F+2=F2+65 cents,balkan_gaida_thracian_e_centered
G2,G2,15,G2=G2+15 cents,balkan_gaida_thracian_e_centered
G+2,G+2,00,G+2=G+2+00 cents,balkan_gaida_thracian_e_centered
A2,A2,00,A2=A2+00 cents,balkan_gaida_thracian_e_centered
A+2,A+2,00,A+2=A+2+00 cents,balkan_gaida_thracian_e_centered
B2,A+2,65,B2=A+2+65 cents,balkan_gaida_thracian_e_centered
C3,C3,00,C3=C3+00 cents,balkan_gaida_thracian_e_centered
C+3,C+3,10,C+3=C+3+10 cents,balkan_gaida_thracian_e_centered
D3,D3,00,D3=D3+00 cents,balkan_gaida_thracian_e_centered
D+3,D+3,00,D+3=D+3+00 cents,balkan_gaida_thracian_e_centered
E3,E3,00,E3=E3+00 cents,balkan_gaida_thracian_e_centered
F3,F3,00,F3=F3+00 cents,balkan_gaida_thracian_e_centered
F+3,F3,65,F+3=F3+65 cents,balkan_gaida_thracian_e_centered
G3,G3,15,G3=G3+15 cents,balkan_gaida_thracian_e_centered
G+3,G+3,00,G+3=G+3+00 cents,balkan_gaida_thracian_e_centered
A3,A3,00,A3=A3+00 cents,balkan_gaida_thracian_e_centered
A+3,A+3,00,A+3=A+3+00 cents,balkan_gaida_thracian_e_centered
B3,A+3,65,B3=A+3+65 cents,balkan_gaida_thracian_e_centered
C4,C4,00,C4=C4+00 cents,balkan_gaida_thracian_e_centered
C+4,C+4,10,C+4=C+4+10 cents,balkan_gaida_thracian_e_centered
D4,D4,00,D4=D4+00 cents,balkan_gaida_thracian_e_centered
D+4,D+4,00,D+4=D+4+00 cents,balkan_gaida_thracian_e_centered
E4,E4,00,E4=E4+00 cents,balkan_gaida_thracian_e_centered
F4,F4,00,F4=F4+00 cents,balkan_gaida_thracian_e_centered
F+4,F4,65,F+4=F4+65 cents,balkan_gaida_thracian_e_centered
G4,G4,15,G4=G4+15 cents,balkan_gaida_thracian_e_centered
G+4,G+4,00,G+4=G+4+00 cents,balkan_gaida_thracian_e_centered
A4,A4,00,A4=A4+00 cents,balkan_gaida_thracian_e_centered
A+4,A+4,00,A+4=A+4+00 cents,balkan_gaida_thracian_e_centered
B4,A+4,65,B4=A+4+65 cents,balkan_gaida_thracian_e_centered
C5,C5,00,C5=C5+00 cents,balkan_gaida_thracian_e_centered
C+5,C+5,10,C+5=C+5+10 cents,balkan_gaida_thracian_e_centered
D5,D5,00,D5=D5+00 cents,balkan_gaida_thracian_e_centered
D+5,D+5,00,D+5=D+5+00 cents,balkan_gaida_thracian_e_centered
E5,E5,00,E5=E5+00 cents,balkan_gaida_thracian_e_centered
F5,F5,00,F5=F5+00 cents,balkan_gaida_thracian_e_centered
F+5,F5,65,F+5=F5+65 cents,balkan_gaida_thracian_e_centered
G5,G5,15,G5=G5+15 cents,balkan_gaida_thracian_e_centered
G+5,G+5,00,G+5=G+5+00 cents,balkan_gaida_thracian_e_centered
A5,A5,00,A5=A5+00 cents,balkan_gaida_thracian_e_centered
A+5,A+5,00,A+5=A+5+00 cents,balkan_gaida_thracian_e_centered
B5,A+5,65,B5=A+5+65 cents,balkan_gaida_thracian_e_centered
C6,C6,00,C6=C6+00 cents,balkan_gaida_thracian_e_centered
C+6,C+6,10,C+6=C+6+10 cents,balkan_gaida_thracian_e_centered
D6,D6,00,D6=D6+00 cents,balkan_gaida_thracian_e_centered
D+6,D+6,00,D+6=D+6+00 cents,balkan_gaida_thracian_e_centered
E6,E6,00,E6=E6+00 cents,balkan_gaida_thracian_e_centered
F6,F6,00,F6=F6+00 cents,balkan_gaida_thracian_e_centered
F+6,F6,65,F+6=F6+65 cents,balkan_gaida_thracian_e_centered
G6,G6,15,G6=G6+15 cents,balkan_gaida_thracian_e_centered
G+6,G+6,00,G+6=G+6+00 cents,balkan_gaida_thracian_e_centered
A6,A6,00,A6=A6+00 cents,balkan_gaida_thracian_e_centered
A+6,A+6,00,A+6=A+6+00 cents,balkan_gaida_thracian_e_centered
B6,A+6,65,B6=A+6+65 cents,balkan_gaida_thracian_e_centered
C7,C7,00,C7=C7+00 cents,balkan_gaida_thracian_e_centered
