source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,balkan_gaida_thracian_g_centered
C+2,C+2,00,C+2=C+2+00 cents,balkan_gaida_thracian_g_centered
D2,C+2,65,D2=C+2+65 cents,balkan_gaida_thracian_g_centered
D+2,D+2,00,D+2=D+2+00 cents,balkan_gaida_thracian_g_centered
E2,E2,10,E2=E2+10 cents,balkan_gaida_thracian_g_centered
F2,F2,00,F2=F2+00 cents,balkan_gaida_thracian_g_centered
F+2,F+2,00,F+2=F+2+00 cents,balkan_gaida_thracian_g_centered
G2,G2,00,G2=G2+00 cents,balkan_gaida_thracian_g_centered
G+2,G+2,00,G+2=G+2+00 cents,balkan_gaida_thracian_g_centered
A2,G+2,65,A2=G+2+65 cents,balkan_gaida_thracian_g_centered
A+2,A+2,15,A+2=A+2+15 cents,balkan_gaida_thracian_g_centered
B2,B2,00,B2=B2+00 cents,balkan_gaida_thracian_g_centered
C3,C3,00,C3=C3+00 cents,balkan_gaida_thracian_g_centered
C+3,C+3,00,C+3=C+3+00 cents,balkan_gaida_thracian_g_centered
D3,C+3,65,D3=C+3+65 cents,balkan_gaida_thracian_g_centered
D+3,D+3,00,D+3=D+3+00 cents,balkan_gaida_thracian_g_centered
E3,E3,10,E3=E3+10 cents,balkan_gaida_thracian_g_centered
F3,F3,00,F3=F3+00 cents,balkan_gaida_thracian_g_centered
F+3,F+3,00,F+3=F+3+00 cents,balkan_gaida_thracian_g_centered
G3,G3,00,G3=G3+00 cents,balkan_gaida_thracian_g_centered
G+3,G+3,00,G+3=G+3+00 cents,balkan_gaida_thracian_g_centered
A3,G+3,65,A3=G+3+65 cents,balkan_gaida_thracian_g_centered
A+3,A+3,15,A+3=A+3+15 cents,balkan_gaida_thracian_g_centered
B3,B3,00,B3=B3+00 cents,balkan_gaida_thracian_g_centered
C4,C4,00,C4=C4+00 cents,balkan_gaida_thracian_g_centered
C+4,C+4,00,C+4=C+4+00 cents,balkan_gaida_thracian_g_centered
D4,C+4,65,D4=C+4+65 cents,balkan_gaida_thracian_g_centered
D+4,D+4,00,D+4=D+4+00 cents,balkan_gaida_thracian_g_centered
E4,E4,10,E4=E4+10 cents,balkan_gaida_thracian_g_centered
F4,F4,00,F4=F4+00 cents,balkan_gaida_thracian_g_centered
F+4,F+4,00,F+4=F+4+00 cents,balkan_gaida_thracian_g_centered
G4,G4,00,G4=G4+00 cents,balkan_gaida_thracian_g_centered
G+4,G+4,00,G+4=G+4+00 cents,balkan_gaida_thracian_g_centered
A4,G+4,65,A4=G+4+65 cents,balkan_gaida_thracian_g_centered
A+4,A+4,15,A+4=A+4+15 cents,balkan_gaida_thracian_g_centered
B4,B4,00,B4=B4+00 cents,balkan_gaida_thracian_g_centered
C5,C5,00,C5=C5+00 cents,balkan_gaida_thracian_g_centered
C+5,C+5,00,C+5=C+5+00 cents,balkan_gaida_thracian_g_centered
D5,C+5,65,D5=C+5+65 cents,balkan_gaida_thracian_g_centered
D+5,D+5,00,D+5=D+5+00 cents,balkan_gaida_thracian_g_centered
E5,E5,10,E5=E5+10 cents,balkan_gaida_thracian_g_centered
F5,F5,00,F5=F5+00 cents,balkan_gaida_thracian_g_centered
F+5,F+5,00,F+5=F+5+00 cents,balkan_gaida_thracian_g_centered
G5,G5,00,G5=G5+00 cents,balkan_gaida_thracian_g_centered
G+5,G+5,00,G+5=G+5+00 cents,balkan_gaida_thracian_g_centered
A5,G+5,65,A5=G+5+65 cents,balkan_gaida_thracian_g_centered
A+5,A+5,15,A+5=A+5+15 cents,balkan_gaida_thracian_g_centered
B5,B5,00,B5=B5+00 cents,balkan_gaida_thracian_g_centered
C6,C6,00,C6=C6+00 cents,balkan_gaida_thracian_g_centered
C+6,C+6,00,C+6=C+6+00 cents,balkan_gaida_thracian_g_centered
D6,C+6,65,D6=C+6+65 cents,balkan_gaida_thracian_g_centered
D+6,D+6,00,D+6=D+6+00 cents,balkan_gaida_thracian_g_centered
E6,E6,10,E6=E6+10 cents,balkan_gaida_thracian_g_centered
F6,F6,00,F6=F6+00 cents,balkan_gaida_thracian_g_centered
F+6,F+6,00,F+6=F+6+00 cents,balkan_gaida_thracian_g_centered
G6,G6,00,G6=G6+00 cents,balkan_gaida_thracian_g_centered
G+6,G+6,00,G+6=G+6+00 cents,balkan_gaida_thracian_g_centered
A6,G+6,65,A6=G+6+65 cents,balkan_gaida_thracian_g_centered
A+6,A+6,15,A+6=A+6+15 cents,balkan_gaida_thracian_g_centered
B6,B6,00,B6=B6+00 cents,balkan_gaida_thracian_g_centered
C7,C7,00,C7=C7+00 cents,balkan_gaida_thracian_g_centered
