source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,18,66.09,C2=C2 18 cents,balkan_hijaz_g_centered
C2+,C2+,00,69.30,C2+=C2+ 00 cents,balkan_hijaz_g_centered
D2,D2,00,73.42,D2=D2 00 cents,balkan_hijaz_g_centered
D2+,D2,30,74.70,D2+=D2 30 cents,balkan_hijaz_g_centered
E2,E2,00,82.41,E2=E2 00 cents,balkan_hijaz_g_centered
F2,E2,80,86.30,F2=E2 80 cents,balkan_hijaz_g_centered
F2+,F2+,00,92.50,F2+=F2+ 00 cents,balkan_hijaz_g_centered
G2,G2,00,98.00,G2=G2 00 cents,balkan_hijaz_g_centered
G2+,G2+,00,103.83,G2+=G2+ 00 cents,balkan_hijaz_g_centered
A2,G2+,30,105.64,A2=G2+ 30 cents,balkan_hijaz_g_centered
A2+,A2+,00,116.54,A2+=A2+ 00 cents,balkan_hijaz_g_centered
B2,B2,00,123.47,B2=B2 00 cents,balkan_hijaz_g_centered
C3,C3,18,132.18,C3=C3 18 cents,balkan_hijaz_g_centered
C3+,C3+,00,138.59,C3+=C3+ 00 cents,balkan_hijaz_g_centered
D3,D3,00,146.83,D3=D3 00 cents,balkan_hijaz_g_centered
D3+,D3,30,149.40,D3+=D3 30 cents,balkan_hijaz_g_centered
E3,E3,00,164.81,E3=E3 00 cents,balkan_hijaz_g_centered
F3,E3,80,172.61,F3=E3 80 cents,balkan_hijaz_g_centered
F3+,F3+,00,185.00,F3+=F3+ 00 cents,balkan_hijaz_g_centered
G3,G3,00,196.00,G3=G3 00 cents,balkan_hijaz_g_centered
G3+,G3+,00,207.65,G3+=G3+ 00 cents,balkan_hijaz_g_centered
A3,G3+,30,211.28,A3=G3+ 30 cents,balkan_hijaz_g_centered
A3+,A3+,00,233.08,A3+=A3+ 00 cents,balkan_hijaz_g_centered
B3,B3,00,246.94,B3=B3 00 cents,balkan_hijaz_g_centered
C4,C4,18,264.36,C4=C4 18 cents,balkan_hijaz_g_centered
C4+,C4+,00,277.18,C4+=C4+ 00 cents,balkan_hijaz_g_centered
D4,D4,00,293.66,D4=D4 00 cents,balkan_hijaz_g_centered
D4+,D4,30,298.80,D4+=D4 30 cents,balkan_hijaz_g_centered
E4,E4,00,329.63,E4=E4 00 cents,balkan_hijaz_g_centered
F4,E4,80,345.22,F4=E4 80 cents,balkan_hijaz_g_centered
F4+,F4+,00,369.99,F4+=F4+ 00 cents,balkan_hijaz_g_centered
G4,G4,00,392.00,G4=G4 00 cents,balkan_hijaz_g_centered
G4+,G4+,00,415.30,G4+=G4+ 00 cents,balkan_hijaz_g_centered
A4,G4+,30,422.56,A4=G4+ 30 cents,balkan_hijaz_g_centered
A4+,A4+,00,466.16,A4+=A4+ 00 cents,balkan_hijaz_g_centered
B4,B4,00,493.88,B4=B4 00 cents,balkan_hijaz_g_centered
C5,C5,18,528.72,C5=C5 18 cents,balkan_hijaz_g_centered
C5+,C5+,00,554.37,C5+=C5+ 00 cents,balkan_hijaz_g_centered
D5,D5,00,587.33,D5=D5 00 cents,balkan_hijaz_g_centered
D5+,D5,30,597.60,D5+=D5 30 cents,balkan_hijaz_g_centered
E5,E5,00,659.26,E5=E5 00 cents,balkan_hijaz_g_centered
F5,E5,80,690.43,F5=E5 80 cents,balkan_hijaz_g_centered
F5+,F5+,00,739.99,F5+=F5+ 00 cents,balkan_hijaz_g_centered
G5,G5,00,783.99,G5=G5 00 cents,balkan_hijaz_g_centered
G5+,G5+,00,830.61,G5+=G5+ 00 cents,balkan_hijaz_g_centered
A5,G5+,30,845.13,A5=G5+ 30 cents,balkan_hijaz_g_centered
A5+,A5+,00,932.33,A5+=A5+ 00 cents,balkan_hijaz_g_centered
B5,B5,00,987.77,B5=B5 00 cents,balkan_hijaz_g_centered
C6,C6,18,1057.44,C6=C6 18 cents,balkan_hijaz_g_centered
C6+,C6+,00,1108.73,C6+=C6+ 00 cents,balkan_hijaz_g_centered
D6,D6,00,1174.66,D6=D6 00 cents,balkan_hijaz_g_centered
D6+,D6,30,1195.19,D6+=D6 30 cents,balkan_hijaz_g_centered
E6,E6,00,1318.51,E6=E6 00 cents,balkan_hijaz_g_centered
F6,E6,80,1380.87,F6=E6 80 cents,balkan_hijaz_g_centered
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,balkan_hijaz_g_centered
G6,G6,00,1567.98,G6=G6 00 cents,balkan_hijaz_g_centered
G6+,G6+,00,1661.22,G6+=G6+ 00 cents,balkan_hijaz_g_centered
A6,G6+,30,1690.26,A6=G6+ 30 cents,balkan_hijaz_g_centered
A6+,A6+,00,1864.66,A6+=A6+ 00 cents,balkan_hijaz_g_centered
B6,B6,00,1975.53,B6=B6 00 cents,balkan_hijaz_g_centered
C7,C7,18,2114.88,C7=C7 18 cents,balkan_hijaz_g_centered
