source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,arabic_24tet_quartertone_grid
C+2,C+2,50,71.33,C+2=C+2+50 cents,arabic_24tet_quartertone_grid
D2,D2,00,73.42,D2=D2+00 cents,arabic_24tet_quartertone_grid
D+2,D+2,50,80.06,D+2=D+2+50 cents,arabic_24tet_quartertone_grid
E2,E2,00,82.41,E2=E2+00 cents,arabic_24tet_quartertone_grid
F2,F2,00,87.31,F2=F2+00 cents,arabic_24tet_quartertone_grid
F+2,F+2,50,95.21,F+2=F+2+50 cents,arabic_24tet_quartertone_grid
G2,G2,00,98.00,G2=G2+00 cents,arabic_24tet_quartertone_grid
G+2,G+2,50,106.87,G+2=G+2+50 cents,arabic_24tet_quartertone_grid
A2,A2,00,110.00,A2=A2+00 cents,arabic_24tet_quartertone_grid
A+2,A+2,50,119.96,A+2=A+2+50 cents,arabic_24tet_quartertone_grid
B2,B2,00,123.47,B2=B2+00 cents,arabic_24tet_quartertone_grid
C3,C3,00,130.81,C3=C3+00 cents,arabic_24tet_quartertone_grid
C+3,C+3,50,142.65,C+3=C+3+50 cents,arabic_24tet_quartertone_grid
D3,D3,00,146.83,D3=D3+00 cents,arabic_24tet_quartertone_grid
D+3,D+3,50,160.12,D+3=D+3+50 cents,arabic_24tet_quartertone_grid
E3,E3,00,164.81,E3=E3+00 cents,arabic_24tet_quartertone_grid
F3,F3,00,174.61,F3=F3+00 cents,arabic_24tet_quartertone_grid
F+3,F+3,50,190.42,F+3=F+3+50 cents,arabic_24tet_quartertone_grid
G3,G3,00,196.00,G3=G3+00 cents,arabic_24tet_quartertone_grid
G+3,G+3,50,213.74,G+3=G+3+50 cents,arabic_24tet_quartertone_grid
A3,A3,00,220.00,A3=A3+00 cents,arabic_24tet_quartertone_grid
A+3,A+3,50,239.91,A+3=A+3+50 cents,arabic_24tet_quartertone_grid
B3,B3,00,246.94,B3=B3+00 cents,arabic_24tet_quartertone_grid
C4,C4,00,261.63,C4=C4+00 cents,arabic_24tet_quartertone_grid
C+4,C+4,50,285.30,C+4=C+4+50 cents,arabic_24tet_quartertone_grid
D4,D4,00,293.66,D4=D4+00 cents,arabic_24tet_quartertone_grid
D+4,D+4,50,320.24,D+4=D+4+50 cents,arabic_24tet_quartertone_grid
E4,E4,00,329.63,E4=E4+00 cents,arabic_24tet_quartertone_grid
F4,F4,00,349.23,F4=F4+00 cents,arabic_24tet_quartertone_grid
F+4,F+4,50,380.84,F+4=F+4+50 cents,arabic_24tet_quartertone_grid
G4,G4,00,392.00,G4=G4+00 cents,arabic_24tet_quartertone_grid
G+4,G+4,50,427.47,G+4=G+4+50 cents,arabic_24tet_quartertone_grid
A4,A4,00,440.00,A4=A4+00 cents,arabic_24tet_quartertone_grid
A+4,A+4,50,479.82,A+4=A+4+50 cents,arabic_24tet_quartertone_grid
B4,B4,00,493.88,B4=B4+00 cents,arabic_24tet_quartertone_grid
C5,C5,00,523.25,C5=C5+00 cents,arabic_24tet_quartertone_grid
C+5,C+5,50,570.61,C+5=C+5+50 cents,arabic_24tet_quartertone_grid
D5,D5,00,587.33,D5=D5+00 cents,arabic_24tet_quartertone_grid
D+5,D+5,50,640.49,D+5=D+5+50 cents,arabic_24tet_quartertone_grid
E5,E5,00,659.26,E5=E5+00 cents,arabic_24tet_quartertone_grid
F5,F5,00,698.46,F5=F5+00 cents,arabic_24tet_quartertone_grid
F+5,F+5,50,761.67,F+5=F+5+50 cents,arabic_24tet_quartertone_grid
G5,G5,00,783.99,G5=G5+00 cents,arabic_24tet_quartertone_grid
G+5,G+5,50,854.95,G+5=G+5+50 cents,arabic_24tet_quartertone_grid
A5,A5,00,880.00,A5=A5+00 cents,arabic_24tet_quartertone_grid
A+5,A+5,50,959.65,A+5=A+5+50 cents,arabic_24tet_quartertone_grid
B5,B5,00,987.77,B5=B5+00 cents,arabic_24tet_quartertone_grid
C6,C6,00,1046.50,C6=C6+00 cents,arabic_24tet_quartertone_grid
C+6,C+6,50,1141.22,C+6=C+6+50 cents,arabic_24tet_quartertone_grid
D6,D6,00,1174.66,D6=D6+00 cents,arabic_24tet_quartertone_grid
D+6,D+6,50,1280.97,D+6=D+6+50 cents,arabic_24tet_quartertone_grid
E6,E6,00,1318.51,E6=E6+00 cents,arabic_24tet_quartertone_grid
F6,F6,00,1396.91,F6=F6+00 cents,arabic_24tet_quartertone_grid
F+6,F+6,50,1523.34,F+6=F+6+50 cents,arabic_24tet_quartertone_grid
G6,G6,00,1567.98,G6=G6+00 cents,arabic_24tet_quartertone_grid
G+6,G+6,50,1709.90,G+6=G+6+50 cents,arabic_24tet_quartertone_grid
A6,A6,00,1760.00,A6=A6+00 cents,arabic_24tet_quartertone_grid
A+6,A+6,50,1919.29,A+6=A+6+50 cents,arabic_24tet_quartertone_grid
B6,B6,00,1975.53,B6=B6+00 cents,arabic_24tet_quartertone_grid
C7,C7,00,2093.00,C7=C7+00 cents,arabic_24tet_quartertone_grid
