source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,arabic_bayati_a_approx
C+2,C+2,00,69.30,C+2=C+2+00 cents,arabic_bayati_a_approx
D2,D2,00,73.42,D2=D2+00 cents,arabic_bayati_a_approx
D+2,D+2,00,77.78,D+2=D+2+00 cents,arabic_bayati_a_approx
E2,E2,00,82.41,E2=E2+00 cents,arabic_bayati_a_approx
F2,F2,00,87.31,F2=F2+00 cents,arabic_bayati_a_approx
F+2,F2,50,89.87,F+2=F2+50 cents,arabic_bayati_a_approx
G2,G2,00,98.00,G2=G2+00 cents,arabic_bayati_a_approx
G+2,G+2,00,103.83,G+2=G+2+00 cents,arabic_bayati_a_approx
A2,A2,00,110.00,A2=A2+00 cents,arabic_bayati_a_approx
A+2,A+2,00,116.54,A+2=A+2+00 cents,arabic_bayati_a_approx
B2,A+2,50,119.96,B2=A+2+50 cents,arabic_bayati_a_approx
C3,C3,00,130.81,C3=C3+00 cents,arabic_bayati_a_approx
C+3,C+3,00,138.59,C+3=C+3+00 cents,arabic_bayati_a_approx
D3,D3,00,146.83,D3=D3+00 cents,arabic_bayati_a_approx
D+3,D+3,00,155.56,D+3=D+3+00 cents,arabic_bayati_a_approx
E3,E3,00,164.81,E3=E3+00 cents,arabic_bayati_a_approx
F3,F3,00,174.61,F3=F3+00 cents,arabic_bayati_a_approx
F+3,F3,50,179.73,F+3=F3+50 cents,arabic_bayati_a_approx
G3,G3,00,196.00,G3=G3+00 cents,arabic_bayati_a_approx
G+3,G+3,00,207.65,G+3=G+3+00 cents,arabic_bayati_a_approx
A3,A3,00,220.00,A3=A3+00 cents,arabic_bayati_a_approx
A+3,A+3,00,233.08,A+3=A+3+00 cents,arabic_bayati_a_approx
B3,A+3,50,239.91,B3=A+3+50 cents,arabic_bayati_a_approx
C4,C4,00,261.63,C4=C4+00 cents,arabic_bayati_a_approx
C+4,C+4,00,277.18,C+4=C+4+00 cents,arabic_bayati_a_approx
D4,D4,00,293.66,D4=D4+00 cents,arabic_bayati_a_approx
D+4,D+4,00,311.13,D+4=D+4+00 cents,arabic_bayati_a_approx
E4,E4,00,329.63,E4=E4+00 cents,arabic_bayati_a_approx
F4,F4,00,349.23,F4=F4+00 cents,arabic_bayati_a_approx
F+4,F4,50,359.46,F+4=F4+50 cents,arabic_bayati_a_approx
G4,G4,00,392.00,G4=G4+00 cents,arabic_bayati_a_approx
G+4,G+4,00,415.30,G+4=G+4+00 cents,arabic_bayati_a_approx
A4,A4,00,440.00,A4=A4+00 cents,arabic_bayati_a_approx
A+4,A+4,00,466.16,A+4=A+4+00 cents,arabic_bayati_a_approx
B4,A+4,50,479.82,B4=A+4+50 cents,arabic_bayati_a_approx
C5,C5,00,523.25,C5=C5+00 cents,arabic_bayati_a_approx
C+5,C+5,00,554.37,C+5=C+5+00 cents,arabic_bayati_a_approx
D5,D5,00,587.33,D5=D5+00 cents,arabic_bayati_a_approx
D+5,D+5,00,622.25,D+5=D+5+00 cents,arabic_bayati_a_approx
E5,E5,00,659.26,E5=E5+00 cents,arabic_bayati_a_approx
F5,F5,00,698.46,F5=F5+00 cents,arabic_bayati_a_approx
F+5,F5,50,718.92,F+5=F5+50 cents,arabic_bayati_a_approx
G5,G5,00,783.99,G5=G5+00 cents,arabic_bayati_a_approx
G+5,G+5,00,830.61,G+5=G+5+00 cents,arabic_bayati_a_approx
A5,A5,00,880.00,A5=A5+00 cents,arabic_bayati_a_approx
A+5,A+5,00,932.33,A+5=A+5+00 cents,arabic_bayati_a_approx
B5,A+5,50,959.65,B5=A+5+50 cents,arabic_bayati_a_approx
C6,C6,00,1046.50,C6=C6+00 cents,arabic_bayati_a_approx
C+6,C+6,00,1108.73,C+6=C+6+00 cents,arabic_bayati_a_approx
D6,D6,00,1174.66,D6=D6+00 cents,arabic_bayati_a_approx
D+6,D+6,00,1244.51,D+6=D+6+00 cents,arabic_bayati_a_approx
E6,E6,00,1318.51,E6=E6+00 cents,arabic_bayati_a_approx
F6,F6,00,1396.91,F6=F6+00 cents,arabic_bayati_a_approx
F+6,F6,50,1437.85,F+6=F6+50 cents,arabic_bayati_a_approx
G6,G6,00,1567.98,G6=G6+00 cents,arabic_bayati_a_approx
G+6,G+6,00,1661.22,G+6=G+6+00 cents,arabic_bayati_a_approx
A6,A6,00,1760.00,A6=A6+00 cents,arabic_bayati_a_approx
A+6,A+6,00,1864.66,A+6=A+6+00 cents,arabic_bayati_a_approx
B6,A+6,50,1919.29,B6=A+6+50 cents,arabic_bayati_a_approx
C7,C7,00,2093.00,C7=C7+00 cents,arabic_bayati_a_approx
