source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,arabic_bayati_e_approx
C+2,C2,50,C+2=C2+50 cents,arabic_bayati_e_approx
D2,D2,00,D2=D2+00 cents,arabic_bayati_e_approx
D+2,D+2,00,D+2=D+2+00 cents,arabic_bayati_e_approx
E2,E2,00,E2=E2+00 cents,arabic_bayati_e_approx
F2,F2,00,F2=F2+00 cents,arabic_bayati_e_approx
F+2,F2,50,F+2=F2+50 cents,arabic_bayati_e_approx
G2,G2,00,G2=G2+00 cents,arabic_bayati_e_approx
G+2,G+2,00,G+2=G+2+00 cents,arabic_bayati_e_approx
A2,A2,00,A2=A2+00 cents,arabic_bayati_e_approx
A+2,A+2,00,A+2=A+2+00 cents,arabic_bayati_e_approx
B2,B2,00,B2=B2+00 cents,arabic_bayati_e_approx
C3,C3,00,C3=C3+00 cents,arabic_bayati_e_approx
C+3,C3,50,C+3=C3+50 cents,arabic_bayati_e_approx
D3,D3,00,D3=D3+00 cents,arabic_bayati_e_approx
D+3,D+3,00,D+3=D+3+00 cents,arabic_bayati_e_approx
E3,E3,00,E3=E3+00 cents,arabic_bayati_e_approx
F3,F3,00,F3=F3+00 cents,arabic_bayati_e_approx
F+3,F3,50,F+3=F3+50 cents,arabic_bayati_e_approx
G3,G3,00,G3=G3+00 cents,arabic_bayati_e_approx
G+3,G+3,00,G+3=G+3+00 cents,arabic_bayati_e_approx
A3,A3,00,A3=A3+00 cents,arabic_bayati_e_approx
A+3,A+3,00,A+3=A+3+00 cents,arabic_bayati_e_approx
B3,B3,00,B3=B3+00 cents,arabic_bayati_e_approx
C4,C4,00,C4=C4+00 cents,arabic_bayati_e_approx
C+4,C4,50,C+4=C4+50 cents,arabic_bayati_e_approx
D4,D4,00,D4=D4+00 cents,arabic_bayati_e_approx
D+4,D+4,00,D+4=D+4+00 cents,arabic_bayati_e_approx
E4,E4,00,E4=E4+00 cents,arabic_bayati_e_approx
F4,F4,00,F4=F4+00 cents,arabic_bayati_e_approx
F+4,F4,50,F+4=F4+50 cents,arabic_bayati_e_approx
G4,G4,00,G4=G4+00 cents,arabic_bayati_e_approx
G+4,G+4,00,G+4=G+4+00 cents,arabic_bayati_e_approx
A4,A4,00,A4=A4+00 cents,arabic_bayati_e_approx
A+4,A+4,00,A+4=A+4+00 cents,arabic_bayati_e_approx
B4,B4,00,B4=B4+00 cents,arabic_bayati_e_approx
C5,C5,00,C5=C5+00 cents,arabic_bayati_e_approx
C+5,C5,50,C+5=C5+50 cents,arabic_bayati_e_approx
D5,D5,00,D5=D5+00 cents,arabic_bayati_e_approx
D+5,D+5,00,D+5=D+5+00 cents,arabic_bayati_e_approx
E5,E5,00,E5=E5+00 cents,arabic_bayati_e_approx
F5,F5,00,F5=F5+00 cents,arabic_bayati_e_approx
F+5,F5,50,F+5=F5+50 cents,arabic_bayati_e_approx
G5,G5,00,G5=G5+00 cents,arabic_bayati_e_approx
G+5,G+5,00,G+5=G+5+00 cents,arabic_bayati_e_approx
A5,A5,00,A5=A5+00 cents,arabic_bayati_e_approx
A+5,A+5,00,A+5=A+5+00 cents,arabic_bayati_e_approx
B5,B5,00,B5=B5+00 cents,arabic_bayati_e_approx
C6,C6,00,C6=C6+00 cents,arabic_bayati_e_approx
C+6,C6,50,C+6=C6+50 cents,arabic_bayati_e_approx
D6,D6,00,D6=D6+00 cents,arabic_bayati_e_approx
D+6,D+6,00,D+6=D+6+00 cents,arabic_bayati_e_approx
E6,E6,00,E6=E6+00 cents,arabic_bayati_e_approx
F6,F6,00,F6=F6+00 cents,arabic_bayati_e_approx
F+6,F6,50,F+6=F6+50 cents,arabic_bayati_e_approx
G6,G6,00,G6=G6+00 cents,arabic_bayati_e_approx
G+6,G+6,00,G+6=G+6+00 cents,arabic_bayati_e_approx
A6,A6,00,A6=A6+00 cents,arabic_bayati_e_approx
A+6,A+6,00,A+6=A+6+00 cents,arabic_bayati_e_approx
B6,B6,00,B6=B6+00 cents,arabic_bayati_e_approx
C7,C7,00,C7=C7+00 cents,arabic_bayati_e_approx
