source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,balkan_gaida_c_approx
C+2,C+2,00,69.30,C+2=C+2+00 cents,balkan_gaida_c_approx
D2,D2,00,73.42,D2=D2+00 cents,balkan_gaida_c_approx
D+2,D+2,00,77.78,D+2=D+2+00 cents,balkan_gaida_c_approx
E2,D+2,70,80.99,E2=D+2+70 cents,balkan_gaida_c_approx
F2,F2,00,87.31,F2=F2+00 cents,balkan_gaida_c_approx
F+2,F+2,00,92.50,F+2=F+2+00 cents,balkan_gaida_c_approx
G2,G2,00,98.00,G2=G2+00 cents,balkan_gaida_c_approx
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_gaida_c_approx
A2,A2,00,110.00,A2=A2+00 cents,balkan_gaida_c_approx
A+2,A+2,00,116.54,A+2=A+2+00 cents,balkan_gaida_c_approx
B2,A+2,70,121.35,B2=A+2+70 cents,balkan_gaida_c_approx
C3,C3,00,130.81,C3=C3+00 cents,balkan_gaida_c_approx
C+3,C+3,00,138.59,C+3=C+3+00 cents,balkan_gaida_c_approx
D3,D3,00,146.83,D3=D3+00 cents,balkan_gaida_c_approx
D+3,D+3,00,155.56,D+3=D+3+00 cents,balkan_gaida_c_approx
E3,D+3,70,161.98,E3=D+3+70 cents,balkan_gaida_c_approx
F3,F3,00,174.61,F3=F3+00 cents,balkan_gaida_c_approx
F+3,F+3,00,185.00,F+3=F+3+00 cents,balkan_gaida_c_approx
G3,G3,00,196.00,G3=G3+00 cents,balkan_gaida_c_approx
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_gaida_c_approx
A3,A3,00,220.00,A3=A3+00 cents,balkan_gaida_c_approx
A+3,A+3,00,233.08,A+3=A+3+00 cents,balkan_gaida_c_approx
B3,A+3,70,242.70,B3=A+3+70 cents,balkan_gaida_c_approx
C4,C4,00,261.63,C4=C4+00 cents,balkan_gaida_c_approx
C+4,C+4,00,277.18,C+4=C+4+00 cents,balkan_gaida_c_approx
D4,D4,00,293.66,D4=D4+00 cents,balkan_gaida_c_approx
D+4,D+4,00,311.13,D+4=D+4+00 cents,balkan_gaida_c_approx
E4,D+4,70,323.96,E4=D+4+70 cents,balkan_gaida_c_approx
F4,F4,00,349.23,F4=F4+00 cents,balkan_gaida_c_approx
F+4,F+4,00,369.99,F+4=F+4+00 cents,balkan_gaida_c_approx
G4,G4,00,392.00,G4=G4+00 cents,balkan_gaida_c_approx
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_gaida_c_approx
A4,A4,00,440.00,A4=A4+00 cents,balkan_gaida_c_approx
A+4,A+4,00,466.16,A+4=A+4+00 cents,balkan_gaida_c_approx
B4,A+4,70,485.40,B4=A+4+70 cents,balkan_gaida_c_approx
C5,C5,00,523.25,C5=C5+00 cents,balkan_gaida_c_approx
C+5,C+5,00,554.37,C+5=C+5+00 cents,balkan_gaida_c_approx
D5,D5,00,587.33,D5=D5+00 cents,balkan_gaida_c_approx
D+5,D+5,00,622.25,D+5=D+5+00 cents,balkan_gaida_c_approx
E5,D+5,70,647.93,E5=D+5+70 cents,balkan_gaida_c_approx
F5,F5,00,698.46,F5=F5+00 cents,balkan_gaida_c_approx
F+5,F+5,00,739.99,F+5=F+5+00 cents,balkan_gaida_c_approx
G5,G5,00,783.99,G5=G5+00 cents,balkan_gaida_c_approx
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_gaida_c_approx
A5,A5,00,880.00,A5=A5+00 cents,balkan_gaida_c_approx
A+5,A+5,00,932.33,A+5=A+5+00 cents,balkan_gaida_c_approx
B5,A+5,70,970.80,B5=A+5+70 cents,balkan_gaida_c_approx
C6,C6,00,1046.50,C6=C6+00 cents,balkan_gaida_c_approx
C+6,C+6,00,1108.73,C+6=C+6+00 cents,balkan_gaida_c_approx
D6,D6,00,1174.66,D6=D6+00 cents,balkan_gaida_c_approx
D+6,D+6,00,1244.51,D+6=D+6+00 cents,balkan_gaida_c_approx
E6,D+6,70,1295.86,E6=D+6+70 cents,balkan_gaida_c_approx
F6,F6,00,1396.91,F6=F6+00 cents,balkan_gaida_c_approx
F+6,F+6,00,1479.98,F+6=F+6+00 cents,balkan_gaida_c_approx
G6,G6,00,1567.98,G6=G6+00 cents,balkan_gaida_c_approx
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_gaida_c_approx
A6,A6,00,1760.00,A6=A6+00 cents,balkan_gaida_c_approx
A+6,A+6,00,1864.66,A+6=A+6+00 cents,balkan_gaida_c_approx
B6,A+6,70,1941.59,B6=A+6+70 cents,balkan_gaida_c_approx
C7,C7,00,2093.00,C7=C7+00 cents,balkan_gaida_c_approx
