source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,balkan_gaida_macedonian_g_centered
C+2,C+2,00,69.30,C+2=C+2+00 cents,balkan_gaida_macedonian_g_centered
D2,C+2,85,72.78,D2=C+2+85 cents,balkan_gaida_macedonian_g_centered
D+2,D+2,00,77.78,D+2=D+2+00 cents,balkan_gaida_macedonian_g_centered
E2,E2,05,82.65,E2=E2+05 cents,balkan_gaida_macedonian_g_centered
F2,F2,00,87.31,F2=F2+00 cents,balkan_gaida_macedonian_g_centered
F+2,F+2,00,92.50,F+2=F+2+00 cents,balkan_gaida_macedonian_g_centered
G2,G2,00,98.00,G2=G2+00 cents,balkan_gaida_macedonian_g_centered
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_gaida_macedonian_g_centered
A2,G+2,75,108.42,A2=G+2+75 cents,balkan_gaida_macedonian_g_centered
A+2,A+2,00,116.54,A+2=A+2+00 cents,balkan_gaida_macedonian_g_centered
B2,A+2,65,121.00,B2=A+2+65 cents,balkan_gaida_macedonian_g_centered
C3,C3,00,130.81,C3=C3+00 cents,balkan_gaida_macedonian_g_centered
C+3,C+3,00,138.59,C+3=C+3+00 cents,balkan_gaida_macedonian_g_centered
D3,C+3,85,145.57,D3=C+3+85 cents,balkan_gaida_macedonian_g_centered
D+3,D+3,00,155.56,D+3=D+3+00 cents,balkan_gaida_macedonian_g_centered
E3,E3,05,165.29,E3=E3+05 cents,balkan_gaida_macedonian_g_centered
F3,F3,00,174.61,F3=F3+00 cents,balkan_gaida_macedonian_g_centered
F+3,F+3,00,185.00,F+3=F+3+00 cents,balkan_gaida_macedonian_g_centered
G3,G3,00,196.00,G3=G3+00 cents,balkan_gaida_macedonian_g_centered
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_gaida_macedonian_g_centered
A3,G+3,75,216.85,A3=G+3+75 cents,balkan_gaida_macedonian_g_centered
A+3,A+3,00,233.08,A+3=A+3+00 cents,balkan_gaida_macedonian_g_centered
B3,A+3,65,242.00,B3=A+3+65 cents,balkan_gaida_macedonian_g_centered
C4,C4,00,261.63,C4=C4+00 cents,balkan_gaida_macedonian_g_centered
C+4,C+4,00,277.18,C+4=C+4+00 cents,balkan_gaida_macedonian_g_centered
D4,C+4,85,291.13,D4=C+4+85 cents,balkan_gaida_macedonian_g_centered
D+4,D+4,00,311.13,D+4=D+4+00 cents,balkan_gaida_macedonian_g_centered
E4,E4,05,330.58,E4=E4+05 cents,balkan_gaida_macedonian_g_centered
F4,F4,00,349.23,F4=F4+00 cents,balkan_gaida_macedonian_g_centered
F+4,F+4,00,369.99,F+4=F+4+00 cents,balkan_gaida_macedonian_g_centered
G4,G4,00,392.00,G4=G4+00 cents,balkan_gaida_macedonian_g_centered
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_gaida_macedonian_g_centered
A4,G+4,75,433.69,A4=G+4+75 cents,balkan_gaida_macedonian_g_centered
A+4,A+4,00,466.16,A+4=A+4+00 cents,balkan_gaida_macedonian_g_centered
B4,A+4,65,484.00,B4=A+4+65 cents,balkan_gaida_macedonian_g_centered
C5,C5,00,523.25,C5=C5+00 cents,balkan_gaida_macedonian_g_centered
C+5,C+5,00,554.37,C+5=C+5+00 cents,balkan_gaida_macedonian_g_centered
D5,C+5,85,582.26,D5=C+5+85 cents,balkan_gaida_macedonian_g_centered
D+5,D+5,00,622.25,D+5=D+5+00 cents,balkan_gaida_macedonian_g_centered
E5,E5,05,661.16,E5=E5+05 cents,balkan_gaida_macedonian_g_centered
F5,F5,00,698.46,F5=F5+00 cents,balkan_gaida_macedonian_g_centered
F+5,F+5,00,739.99,F+5=F+5+00 cents,balkan_gaida_macedonian_g_centered
G5,G5,00,783.99,G5=G5+00 cents,balkan_gaida_macedonian_g_centered
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_gaida_macedonian_g_centered
A5,G+5,75,867.38,A5=G+5+75 cents,balkan_gaida_macedonian_g_centered
A+5,A+5,00,932.33,A+5=A+5+00 cents,balkan_gaida_macedonian_g_centered
B5,A+5,65,968.00,B5=A+5+65 cents,balkan_gaida_macedonian_g_centered
C6,C6,00,1046.50,C6=C6+00 cents,balkan_gaida_macedonian_g_centered
C+6,C+6,00,1108.73,C+6=C+6+00 cents,balkan_gaida_macedonian_g_centered
D6,C+6,85,1164.53,D6=C+6+85 cents,balkan_gaida_macedonian_g_centered
D+6,D+6,00,1244.51,D+6=D+6+00 cents,balkan_gaida_macedonian_g_centered
E6,E6,05,1322.32,E6=E6+05 cents,balkan_gaida_macedonian_g_centered
F6,F6,00,1396.91,F6=F6+00 cents,balkan_gaida_macedonian_g_centered
F+6,F+6,00,1479.98,F+6=F+6+00 cents,balkan_gaida_macedonian_g_centered
G6,G6,00,1567.98,G6=G6+00 cents,balkan_gaida_macedonian_g_centered
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_gaida_macedonian_g_centered
A6,G+6,75,1734.77,A6=G+6+75 cents,balkan_gaida_macedonian_g_centered
A+6,A+6,00,1864.66,A+6=A+6+00 cents,balkan_gaida_macedonian_g_centered
B6,A+6,65,1936.00,B6=A+6+65 cents,balkan_gaida_macedonian_g_centered
C7,C7,00,2093.00,C7=C7+00 cents,balkan_gaida_macedonian_g_centered
