source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2 00 cents,balkan_gaida_thracian_g_centered
C2+,C2+,00,69.30,C2+=C2+ 00 cents,balkan_gaida_thracian_g_centered
D2,C2+,65,71.95,D2=C2+ 65 cents,balkan_gaida_thracian_g_centered
D2+,D2+,00,77.78,D2+=D2+ 00 cents,balkan_gaida_thracian_g_centered
E2,E2,10,82.88,E2=E2 10 cents,balkan_gaida_thracian_g_centered
F2,F2,00,87.31,F2=F2 00 cents,balkan_gaida_thracian_g_centered
F2+,F2+,00,92.50,F2+=F2+ 00 cents,balkan_gaida_thracian_g_centered
G2,G2,00,98.00,G2=G2 00 cents,balkan_gaida_thracian_g_centered
G2+,G2+,00,103.83,G2+=G2+ 00 cents,balkan_gaida_thracian_g_centered
A2,G2+,65,107.80,A2=G2+ 65 cents,balkan_gaida_thracian_g_centered
A2+,A2+,15,117.56,A2+=A2+ 15 cents,balkan_gaida_thracian_g_centered
B2,B2,00,123.47,B2=B2 00 cents,balkan_gaida_thracian_g_centered
C3,C3,00,130.81,C3=C3 00 cents,balkan_gaida_thracian_g_centered
C3+,C3+,00,138.59,C3+=C3+ 00 cents,balkan_gaida_thracian_g_centered
D3,C3+,65,143.89,D3=C3+ 65 cents,balkan_gaida_thracian_g_centered
D3+,D3+,00,155.56,D3+=D3+ 00 cents,balkan_gaida_thracian_g_centered
E3,E3,10,165.77,E3=E3 10 cents,balkan_gaida_thracian_g_centered
F3,F3,00,174.61,F3=F3 00 cents,balkan_gaida_thracian_g_centered
F3+,F3+,00,185.00,F3+=F3+ 00 cents,balkan_gaida_thracian_g_centered
G3,G3,00,196.00,G3=G3 00 cents,balkan_gaida_thracian_g_centered
G3+,G3+,00,207.65,G3+=G3+ 00 cents,balkan_gaida_thracian_g_centered
A3,G3+,65,215.60,A3=G3+ 65 cents,balkan_gaida_thracian_g_centered
A3+,A3+,15,235.11,A3+=A3+ 15 cents,balkan_gaida_thracian_g_centered
B3,B3,00,246.94,B3=B3 00 cents,balkan_gaida_thracian_g_centered
C4,C4,00,261.63,C4=C4 00 cents,balkan_gaida_thracian_g_centered
C4+,C4+,00,277.18,C4+=C4+ 00 cents,balkan_gaida_thracian_g_centered
D4,C4+,65,287.79,D4=C4+ 65 cents,balkan_gaida_thracian_g_centered
D4+,D4+,00,311.13,D4+=D4+ 00 cents,balkan_gaida_thracian_g_centered
E4,E4,10,331.54,E4=E4 10 cents,balkan_gaida_thracian_g_centered
F4,F4,00,349.23,F4=F4 00 cents,balkan_gaida_thracian_g_centered
F4+,F4+,00,369.99,F4+=F4+ 00 cents,balkan_gaida_thracian_g_centered
G4,G4,00,392.00,G4=G4 00 cents,balkan_gaida_thracian_g_centered
G4+,G4+,00,415.30,G4+=G4+ 00 cents,balkan_gaida_thracian_g_centered
A4,G4+,65,431.19,A4=G4+ 65 cents,balkan_gaida_thracian_g_centered
A4+,A4+,15,470.22,A4+=A4+ 15 cents,balkan_gaida_thracian_g_centered
B4,B4,00,493.88,B4=B4 00 cents,balkan_gaida_thracian_g_centered
C5,C5,00,523.25,C5=C5 00 cents,balkan_gaida_thracian_g_centered
C5+,C5+,00,554.37,C5+=C5+ 00 cents,balkan_gaida_thracian_g_centered
D5,C5+,65,575.57,D5=C5+ 65 cents,balkan_gaida_thracian_g_centered
D5+,D5+,00,622.25,D5+=D5+ 00 cents,balkan_gaida_thracian_g_centered
E5,E5,10,663.07,E5=E5 10 cents,balkan_gaida_thracian_g_centered
F5,F5,00,698.46,F5=F5 00 cents,balkan_gaida_thracian_g_centered
F5+,F5+,00,739.99,F5+=F5+ 00 cents,balkan_gaida_thracian_g_centered
G5,G5,00,783.99,G5=G5 00 cents,balkan_gaida_thracian_g_centered
G5+,G5+,00,830.61,G5+=G5+ 00 cents,balkan_gaida_thracian_g_centered
A5,G5+,65,862.39,A5=G5+ 65 cents,balkan_gaida_thracian_g_centered
A5+,A5+,15,940.44,A5+=A5+ 15 cents,balkan_gaida_thracian_g_centered
B5,B5,00,987.77,B5=B5 00 cents,balkan_gaida_thracian_g_centered
C6,C6,00,1046.50,C6=C6 00 cents,balkan_gaida_thracian_g_centered
C6+,C6+,00,1108.73,C6+=C6+ 00 cents,balkan_gaida_thracian_g_centered
D6,C6+,65,1151.15,D6=C6+ 65 cents,balkan_gaida_thracian_g_centered
D6+,D6+,00,1244.51,D6+=D6+ 00 cents,balkan_gaida_thracian_g_centered
E6,E6,10,1326.15,E6=E6 10 cents,balkan_gaida_thracian_g_centered
F6,F6,00,1396.91,F6=F6 00 cents,balkan_gaida_thracian_g_centered
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,balkan_gaida_thracian_g_centered
G6,G6,00,1567.98,G6=G6 00 cents,balkan_gaida_thracian_g_centered
G6+,G6+,00,1661.22,G6+=G6+ 00 cents,balkan_gaida_thracian_g_centered
A6,G6+,65,1724.78,A6=G6+ 65 cents,balkan_gaida_thracian_g_centered
A6+,A6+,15,1880.88,A6+=A6+ 15 cents,balkan_gaida_thracian_g_centered
B6,B6,00,1975.53,B6=B6 00 cents,balkan_gaida_thracian_g_centered
C7,C7,00,2093.00,C7=C7 00 cents,balkan_gaida_thracian_g_centered
