source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,balkan_hijaz_a_centered
C+2,C+2,00,C+2=C+2+00 cents,balkan_hijaz_a_centered
D2,D2,18,D2=D2+18 cents,balkan_hijaz_a_centered
D+2,D+2,00,D+2=D+2+00 cents,balkan_hijaz_a_centered
E2,E2,00,E2=E2+00 cents,balkan_hijaz_a_centered
F2,E2,30,F2=E2+30 cents,balkan_hijaz_a_centered
F+2,F+2,00,F+2=F+2+00 cents,balkan_hijaz_a_centered
G2,F+2,80,G2=F+2+80 cents,balkan_hijaz_a_centered
G+2,G+2,00,G+2=G+2+00 cents,balkan_hijaz_a_centered
A2,A2,00,A2=A2+00 cents,balkan_hijaz_a_centered
A+2,A+2,00,A+2=A+2+00 cents,balkan_hijaz_a_centered
B2,A+2,30,B2=A+2+30 cents,balkan_hijaz_a_centered
C3,C3,00,C3=C3+00 cents,balkan_hijaz_a_centered
C+3,C+3,00,C+3=C+3+00 cents,balkan_hijaz_a_centered
D3,D3,18,D3=D3+18 cents,balkan_hijaz_a_centered
D+3,D+3,00,D+3=D+3+00 cents,balkan_hijaz_a_centered
E3,E3,00,E3=E3+00 cents,balkan_hijaz_a_centered
F3,E3,30,F3=E3+30 cents,balkan_hijaz_a_centered
F+3,F+3,00,F+3=F+3+00 cents,balkan_hijaz_a_centered
G3,F+3,80,G3=F+3+80 cents,balkan_hijaz_a_centered
G+3,G+3,00,G+3=G+3+00 cents,balkan_hijaz_a_centered
A3,A3,00,A3=A3+00 cents,balkan_hijaz_a_centered
A+3,A+3,00,A+3=A+3+00 cents,balkan_hijaz_a_centered
B3,A+3,30,B3=A+3+30 cents,balkan_hijaz_a_centered
C4,C4,00,C4=C4+00 cents,balkan_hijaz_a_centered
C+4,C+4,00,C+4=C+4+00 cents,balkan_hijaz_a_centered
D4,D4,18,D4=D4+18 cents,balkan_hijaz_a_centered
D+4,D+4,00,D+4=D+4+00 cents,balkan_hijaz_a_centered
E4,E4,00,E4=E4+00 cents,balkan_hijaz_a_centered
F4,E4,30,F4=E4+30 cents,balkan_hijaz_a_centered
F+4,F+4,00,F+4=F+4+00 cents,balkan_hijaz_a_centered
G4,F+4,80,G4=F+4+80 cents,balkan_hijaz_a_centered
G+4,G+4,00,G+4=G+4+00 cents,balkan_hijaz_a_centered
A4,A4,00,A4=A4+00 cents,balkan_hijaz_a_centered
A+4,A+4,00,A+4=A+4+00 cents,balkan_hijaz_a_centered
B4,A+4,30,B4=A+4+30 cents,balkan_hijaz_a_centered
C5,C5,00,C5=C5+00 cents,balkan_hijaz_a_centered
C+5,C+5,00,C+5=C+5+00 cents,balkan_hijaz_a_centered
D5,D5,18,D5=D5+18 cents,balkan_hijaz_a_centered
D+5,D+5,00,D+5=D+5+00 cents,balkan_hijaz_a_centered
E5,E5,00,E5=E5+00 cents,balkan_hijaz_a_centered
F5,E5,30,F5=E5+30 cents,balkan_hijaz_a_centered
F+5,F+5,00,F+5=F+5+00 cents,balkan_hijaz_a_centered
G5,F+5,80,G5=F+5+80 cents,balkan_hijaz_a_centered
G+5,G+5,00,G+5=G+5+00 cents,balkan_hijaz_a_centered
A5,A5,00,A5=A5+00 cents,balkan_hijaz_a_centered
A+5,A+5,00,A+5=A+5+00 cents,balkan_hijaz_a_centered
B5,A+5,30,B5=A+5+30 cents,balkan_hijaz_a_centered
C6,C6,00,C6=C6+00 cents,balkan_hijaz_a_centered
C+6,C+6,00,C+6=C+6+00 cents,balkan_hijaz_a_centered
D6,D6,18,D6=D6+18 cents,balkan_hijaz_a_centered
D+6,D+6,00,D+6=D+6+00 cents,balkan_hijaz_a_centered
E6,E6,00,E6=E6+00 cents,balkan_hijaz_a_centered
F6,E6,30,F6=E6+30 cents,balkan_hijaz_a_centered
F+6,F+6,00,F+6=F+6+00 cents,balkan_hijaz_a_centered
G6,F+6,80,G6=F+6+80 cents,balkan_hijaz_a_centered
G+6,G+6,00,G+6=G+6+00 cents,balkan_hijaz_a_centered
A6,A6,00,A6=A6+00 cents,balkan_hijaz_a_centered
A+6,A+6,00,A+6=A+6+00 cents,balkan_hijaz_a_centered
B6,A+6,30,B6=A+6+30 cents,balkan_hijaz_a_centered
C7,C7,00,C7=C7+00 cents,balkan_hijaz_a_centered
