source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,balkan_hijaz_d_approx
C+2,C2,80,68.50,C+2=C2+80 cents,balkan_hijaz_d_approx
D2,D2,00,73.42,D2=D2+00 cents,balkan_hijaz_d_approx
D+2,D+2,00,77.78,D+2=D+2+00 cents,balkan_hijaz_d_approx
E2,D+2,30,79.14,E2=D+2+30 cents,balkan_hijaz_d_approx
F2,F2,00,87.31,F2=F2+00 cents,balkan_hijaz_d_approx
F+2,F2,80,91.44,F+2=F2+80 cents,balkan_hijaz_d_approx
G2,G2,00,98.00,G2=G2+00 cents,balkan_hijaz_d_approx
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_hijaz_d_approx
A2,G+2,30,105.64,A2=G+2+30 cents,balkan_hijaz_d_approx
A+2,A+2,00,116.54,A+2=A+2+00 cents,balkan_hijaz_d_approx
B2,B2,00,123.47,B2=B2+00 cents,balkan_hijaz_d_approx
C3,C3,00,130.81,C3=C3+00 cents,balkan_hijaz_d_approx
C+3,C3,80,137.00,C+3=C3+80 cents,balkan_hijaz_d_approx
D3,D3,00,146.83,D3=D3+00 cents,balkan_hijaz_d_approx
D+3,D+3,00,155.56,D+3=D+3+00 cents,balkan_hijaz_d_approx
E3,D+3,30,158.28,E3=D+3+30 cents,balkan_hijaz_d_approx
F3,F3,00,174.61,F3=F3+00 cents,balkan_hijaz_d_approx
F+3,F3,80,182.87,F+3=F3+80 cents,balkan_hijaz_d_approx
G3,G3,00,196.00,G3=G3+00 cents,balkan_hijaz_d_approx
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_hijaz_d_approx
A3,G+3,30,211.28,A3=G+3+30 cents,balkan_hijaz_d_approx
A+3,A+3,00,233.08,A+3=A+3+00 cents,balkan_hijaz_d_approx
B3,B3,00,246.94,B3=B3+00 cents,balkan_hijaz_d_approx
C4,C4,00,261.63,C4=C4+00 cents,balkan_hijaz_d_approx
C+4,C4,80,274.00,C+4=C4+80 cents,balkan_hijaz_d_approx
D4,D4,00,293.66,D4=D4+00 cents,balkan_hijaz_d_approx
D+4,D+4,00,311.13,D+4=D+4+00 cents,balkan_hijaz_d_approx
E4,D+4,30,316.57,E4=D+4+30 cents,balkan_hijaz_d_approx
F4,F4,00,349.23,F4=F4+00 cents,balkan_hijaz_d_approx
F+4,F4,80,365.74,F+4=F4+80 cents,balkan_hijaz_d_approx
G4,G4,00,392.00,G4=G4+00 cents,balkan_hijaz_d_approx
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_hijaz_d_approx
A4,G+4,30,422.56,A4=G+4+30 cents,balkan_hijaz_d_approx
A+4,A+4,00,466.16,A+4=A+4+00 cents,balkan_hijaz_d_approx
B4,B4,00,493.88,B4=B4+00 cents,balkan_hijaz_d_approx
C5,C5,00,523.25,C5=C5+00 cents,balkan_hijaz_d_approx
C+5,C5,80,548.00,C+5=C5+80 cents,balkan_hijaz_d_approx
D5,D5,00,587.33,D5=D5+00 cents,balkan_hijaz_d_approx
D+5,D+5,00,622.25,D+5=D+5+00 cents,balkan_hijaz_d_approx
E5,D+5,30,633.13,E5=D+5+30 cents,balkan_hijaz_d_approx
F5,F5,00,698.46,F5=F5+00 cents,balkan_hijaz_d_approx
F+5,F5,80,731.49,F+5=F5+80 cents,balkan_hijaz_d_approx
G5,G5,00,783.99,G5=G5+00 cents,balkan_hijaz_d_approx
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_hijaz_d_approx
A5,G+5,30,845.13,A5=G+5+30 cents,balkan_hijaz_d_approx
A+5,A+5,00,932.33,A+5=A+5+00 cents,balkan_hijaz_d_approx
B5,B5,00,987.77,B5=B5+00 cents,balkan_hijaz_d_approx
C6,C6,00,1046.50,C6=C6+00 cents,balkan_hijaz_d_approx
C+6,C6,80,1096.00,C+6=C6+80 cents,balkan_hijaz_d_approx
D6,D6,00,1174.66,D6=D6+00 cents,balkan_hijaz_d_approx
D+6,D+6,00,1244.51,D+6=D+6+00 cents,balkan_hijaz_d_approx
E6,D+6,30,1266.26,E6=D+6+30 cents,balkan_hijaz_d_approx
F6,F6,00,1396.91,F6=F6+00 cents,balkan_hijaz_d_approx
F+6,F6,80,1462.98,F+6=F6+80 cents,balkan_hijaz_d_approx
G6,G6,00,1567.98,G6=G6+00 cents,balkan_hijaz_d_approx
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_hijaz_d_approx
A6,G+6,30,1690.26,A6=G+6+30 cents,balkan_hijaz_d_approx
A+6,A+6,00,1864.66,A+6=A+6+00 cents,balkan_hijaz_d_approx
B6,B6,00,1975.53,B6=B6+00 cents,balkan_hijaz_d_approx
C7,C7,00,2093.00,C7=C7+00 cents,balkan_hijaz_d_approx
