source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,balkan_hijaz_e_centered
C+2,C2,35,66.74,C+2=C2+35 cents,balkan_hijaz_e_centered
D2,D2,00,73.42,D2=D2+00 cents,balkan_hijaz_e_centered
D+2,D2,85,77.11,D+2=D2+85 cents,balkan_hijaz_e_centered
E2,E2,00,82.41,E2=E2+00 cents,balkan_hijaz_e_centered
F2,F2,00,87.31,F2=F2+00 cents,balkan_hijaz_e_centered
F+2,F+2,00,92.50,F+2=F+2+00 cents,balkan_hijaz_e_centered
G2,F+2,35,94.39,G2=F+2+35 cents,balkan_hijaz_e_centered
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_hijaz_e_centered
A2,A2,00,110.00,A2=A2+00 cents,balkan_hijaz_e_centered
A+2,A+2,15,117.56,A+2=A+2+15 cents,balkan_hijaz_e_centered
B2,B2,00,123.47,B2=B2+00 cents,balkan_hijaz_e_centered
C3,C3,00,130.81,C3=C3+00 cents,balkan_hijaz_e_centered
C+3,C3,35,133.48,C+3=C3+35 cents,balkan_hijaz_e_centered
D3,D3,00,146.83,D3=D3+00 cents,balkan_hijaz_e_centered
D+3,D3,85,154.22,D+3=D3+85 cents,balkan_hijaz_e_centered
E3,E3,00,164.81,E3=E3+00 cents,balkan_hijaz_e_centered
F3,F3,00,174.61,F3=F3+00 cents,balkan_hijaz_e_centered
F+3,F+3,00,185.00,F+3=F+3+00 cents,balkan_hijaz_e_centered
G3,F+3,35,188.78,G3=F+3+35 cents,balkan_hijaz_e_centered
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_hijaz_e_centered
A3,A3,00,220.00,A3=A3+00 cents,balkan_hijaz_e_centered
A+3,A+3,15,235.11,A+3=A+3+15 cents,balkan_hijaz_e_centered
B3,B3,00,246.94,B3=B3+00 cents,balkan_hijaz_e_centered
C4,C4,00,261.63,C4=C4+00 cents,balkan_hijaz_e_centered
C+4,C4,35,266.97,C+4=C4+35 cents,balkan_hijaz_e_centered
D4,D4,00,293.66,D4=D4+00 cents,balkan_hijaz_e_centered
D+4,D4,85,308.44,D+4=D4+85 cents,balkan_hijaz_e_centered
E4,E4,00,329.63,E4=E4+00 cents,balkan_hijaz_e_centered
F4,F4,00,349.23,F4=F4+00 cents,balkan_hijaz_e_centered
F+4,F+4,00,369.99,F+4=F+4+00 cents,balkan_hijaz_e_centered
G4,F+4,35,377.55,G4=F+4+35 cents,balkan_hijaz_e_centered
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_hijaz_e_centered
A4,A4,00,440.00,A4=A4+00 cents,balkan_hijaz_e_centered
A+4,A+4,15,470.22,A+4=A+4+15 cents,balkan_hijaz_e_centered
B4,B4,00,493.88,B4=B4+00 cents,balkan_hijaz_e_centered
C5,C5,00,523.25,C5=C5+00 cents,balkan_hijaz_e_centered
C+5,C5,35,533.94,C+5=C5+35 cents,balkan_hijaz_e_centered
D5,D5,00,587.33,D5=D5+00 cents,balkan_hijaz_e_centered
D+5,D5,85,616.89,D+5=D5+85 cents,balkan_hijaz_e_centered
E5,E5,00,659.26,E5=E5+00 cents,balkan_hijaz_e_centered
F5,F5,00,698.46,F5=F5+00 cents,balkan_hijaz_e_centered
F+5,F+5,00,739.99,F+5=F+5+00 cents,balkan_hijaz_e_centered
G5,F+5,35,755.10,G5=F+5+35 cents,balkan_hijaz_e_centered
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_hijaz_e_centered
A5,A5,00,880.00,A5=A5+00 cents,balkan_hijaz_e_centered
A+5,A+5,15,940.44,A+5=A+5+15 cents,balkan_hijaz_e_centered
B5,B5,00,987.77,B5=B5+00 cents,balkan_hijaz_e_centered
C6,C6,00,1046.50,C6=C6+00 cents,balkan_hijaz_e_centered
C+6,C6,35,1067.87,C+6=C6+35 cents,balkan_hijaz_e_centered
D6,D6,00,1174.66,D6=D6+00 cents,balkan_hijaz_e_centered
D+6,D6,85,1233.77,D+6=D6+85 cents,balkan_hijaz_e_centered
E6,E6,00,1318.51,E6=E6+00 cents,balkan_hijaz_e_centered
F6,F6,00,1396.91,F6=F6+00 cents,balkan_hijaz_e_centered
F+6,F+6,00,1479.98,F+6=F+6+00 cents,balkan_hijaz_e_centered
G6,F+6,35,1510.20,G6=F+6+35 cents,balkan_hijaz_e_centered
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_hijaz_e_centered
A6,A6,00,1760.00,A6=A6+00 cents,balkan_hijaz_e_centered
A+6,A+6,15,1880.88,A+6=A+6+15 cents,balkan_hijaz_e_centered
B6,B6,00,1975.53,B6=B6+00 cents,balkan_hijaz_e_centered
C7,C7,00,2093.00,C7=C7+00 cents,balkan_hijaz_e_centered
