source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,18,66.09,C2=C2+18 cents,balkan_hijaz_g_centered
C+2,C+2,00,69.30,C+2=C+2+00 cents,balkan_hijaz_g_centered
D2,D2,00,73.42,D2=D2+00 cents,balkan_hijaz_g_centered
D+2,D2,30,74.70,D+2=D2+30 cents,balkan_hijaz_g_centered
E2,E2,00,82.41,E2=E2+00 cents,balkan_hijaz_g_centered
F2,E2,80,86.30,F2=E2+80 cents,balkan_hijaz_g_centered
F+2,F+2,00,92.50,F+2=F+2+00 cents,balkan_hijaz_g_centered
G2,G2,00,98.00,G2=G2+00 cents,balkan_hijaz_g_centered
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_hijaz_g_centered
A2,G+2,30,105.64,A2=G+2+30 cents,balkan_hijaz_g_centered
A+2,A+2,00,116.54,A+2=A+2+00 cents,balkan_hijaz_g_centered
B2,B2,00,123.47,B2=B2+00 cents,balkan_hijaz_g_centered
C3,C3,18,132.18,C3=C3+18 cents,balkan_hijaz_g_centered
C+3,C+3,00,138.59,C+3=C+3+00 cents,balkan_hijaz_g_centered
D3,D3,00,146.83,D3=D3+00 cents,balkan_hijaz_g_centered
D+3,D3,30,149.40,D+3=D3+30 cents,balkan_hijaz_g_centered
E3,E3,00,164.81,E3=E3+00 cents,balkan_hijaz_g_centered
F3,E3,80,172.61,F3=E3+80 cents,balkan_hijaz_g_centered
F+3,F+3,00,185.00,F+3=F+3+00 cents,balkan_hijaz_g_centered
G3,G3,00,196.00,G3=G3+00 cents,balkan_hijaz_g_centered
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_hijaz_g_centered
A3,G+3,30,211.28,A3=G+3+30 cents,balkan_hijaz_g_centered
A+3,A+3,00,233.08,A+3=A+3+00 cents,balkan_hijaz_g_centered
B3,B3,00,246.94,B3=B3+00 cents,balkan_hijaz_g_centered
C4,C4,18,264.36,C4=C4+18 cents,balkan_hijaz_g_centered
C+4,C+4,00,277.18,C+4=C+4+00 cents,balkan_hijaz_g_centered
D4,D4,00,293.66,D4=D4+00 cents,balkan_hijaz_g_centered
D+4,D4,30,298.80,D+4=D4+30 cents,balkan_hijaz_g_centered
E4,E4,00,329.63,E4=E4+00 cents,balkan_hijaz_g_centered
F4,E4,80,345.22,F4=E4+80 cents,balkan_hijaz_g_centered
F+4,F+4,00,369.99,F+4=F+4+00 cents,balkan_hijaz_g_centered
G4,G4,00,392.00,G4=G4+00 cents,balkan_hijaz_g_centered
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_hijaz_g_centered
A4,G+4,30,422.56,A4=G+4+30 cents,balkan_hijaz_g_centered
A+4,A+4,00,466.16,A+4=A+4+00 cents,balkan_hijaz_g_centered
B4,B4,00,493.88,B4=B4+00 cents,balkan_hijaz_g_centered
C5,C5,18,528.72,C5=C5+18 cents,balkan_hijaz_g_centered
C+5,C+5,00,554.37,C+5=C+5+00 cents,balkan_hijaz_g_centered
D5,D5,00,587.33,D5=D5+00 cents,balkan_hijaz_g_centered
D+5,D5,30,597.60,D+5=D5+30 cents,balkan_hijaz_g_centered
E5,E5,00,659.26,E5=E5+00 cents,balkan_hijaz_g_centered
F5,E5,80,690.43,F5=E5+80 cents,balkan_hijaz_g_centered
F+5,F+5,00,739.99,F+5=F+5+00 cents,balkan_hijaz_g_centered
G5,G5,00,783.99,G5=G5+00 cents,balkan_hijaz_g_centered
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_hijaz_g_centered
A5,G+5,30,845.13,A5=G+5+30 cents,balkan_hijaz_g_centered
A+5,A+5,00,932.33,A+5=A+5+00 cents,balkan_hijaz_g_centered
B5,B5,00,987.77,B5=B5+00 cents,balkan_hijaz_g_centered
C6,C6,18,1057.44,C6=C6+18 cents,balkan_hijaz_g_centered
C+6,C+6,00,1108.73,C+6=C+6+00 cents,balkan_hijaz_g_centered
D6,D6,00,1174.66,D6=D6+00 cents,balkan_hijaz_g_centered
D+6,D6,30,1195.19,D+6=D6+30 cents,balkan_hijaz_g_centered
E6,E6,00,1318.51,E6=E6+00 cents,balkan_hijaz_g_centered
F6,E6,80,1380.87,F6=E6+80 cents,balkan_hijaz_g_centered
F+6,F+6,00,1479.98,F+6=F+6+00 cents,balkan_hijaz_g_centered
G6,G6,00,1567.98,G6=G6+00 cents,balkan_hijaz_g_centered
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_hijaz_g_centered
A6,G+6,30,1690.26,A6=G+6+30 cents,balkan_hijaz_g_centered
A+6,A+6,00,1864.66,A+6=A+6+00 cents,balkan_hijaz_g_centered
B6,B6,00,1975.53,B6=B6+00 cents,balkan_hijaz_g_centered
C7,C7,18,2114.88,C7=C7+18 cents,balkan_hijaz_g_centered
