source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2+00 cents,balkan_kaba_gaida_d_centered
C+2,C+2,00,69.30,C+2=C+2+00 cents,balkan_kaba_gaida_d_centered
D2,D2,00,73.42,D2=D2+00 cents,balkan_kaba_gaida_d_centered
D+2,D+2,00,77.78,D+2=D+2+00 cents,balkan_kaba_gaida_d_centered
E2,D+2,65,80.76,E2=D+2+65 cents,balkan_kaba_gaida_d_centered
F2,F2,00,87.31,F2=F2+00 cents,balkan_kaba_gaida_d_centered
F+2,F+2,12,93.14,F+2=F+2+12 cents,balkan_kaba_gaida_d_centered
G2,G2,00,98.00,G2=G2+00 cents,balkan_kaba_gaida_d_centered
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_kaba_gaida_d_centered
A2,A2,00,110.00,A2=A2+00 cents,balkan_kaba_gaida_d_centered
A+2,A+2,00,116.54,A+2=A+2+00 cents,balkan_kaba_gaida_d_centered
B2,A+2,70,121.35,B2=A+2+70 cents,balkan_kaba_gaida_d_centered
C3,C3,00,130.81,C3=C3+00 cents,balkan_kaba_gaida_d_centered
C+3,C+3,00,138.59,C+3=C+3+00 cents,balkan_kaba_gaida_d_centered
D3,D3,00,146.83,D3=D3+00 cents,balkan_kaba_gaida_d_centered
D+3,D+3,00,155.56,D+3=D+3+00 cents,balkan_kaba_gaida_d_centered
E3,D+3,65,161.52,E3=D+3+65 cents,balkan_kaba_gaida_d_centered
F3,F3,00,174.61,F3=F3+00 cents,balkan_kaba_gaida_d_centered
F+3,F+3,12,186.28,F+3=F+3+12 cents,balkan_kaba_gaida_d_centered
G3,G3,00,196.00,G3=G3+00 cents,balkan_kaba_gaida_d_centered
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_kaba_gaida_d_centered
A3,A3,00,220.00,A3=A3+00 cents,balkan_kaba_gaida_d_centered
A+3,A+3,00,233.08,A+3=A+3+00 cents,balkan_kaba_gaida_d_centered
B3,A+3,70,242.70,B3=A+3+70 cents,balkan_kaba_gaida_d_centered
C4,C4,00,261.63,C4=C4+00 cents,balkan_kaba_gaida_d_centered
C+4,C+4,00,277.18,C+4=C+4+00 cents,balkan_kaba_gaida_d_centered
D4,D4,00,293.66,D4=D4+00 cents,balkan_kaba_gaida_d_centered
D+4,D+4,00,311.13,D+4=D+4+00 cents,balkan_kaba_gaida_d_centered
E4,D+4,65,323.03,E4=D+4+65 cents,balkan_kaba_gaida_d_centered
F4,F4,00,349.23,F4=F4+00 cents,balkan_kaba_gaida_d_centered
F+4,F+4,12,372.57,F+4=F+4+12 cents,balkan_kaba_gaida_d_centered
G4,G4,00,392.00,G4=G4+00 cents,balkan_kaba_gaida_d_centered
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_kaba_gaida_d_centered
A4,A4,00,440.00,A4=A4+00 cents,balkan_kaba_gaida_d_centered
A+4,A+4,00,466.16,A+4=A+4+00 cents,balkan_kaba_gaida_d_centered
B4,A+4,70,485.40,B4=A+4+70 cents,balkan_kaba_gaida_d_centered
C5,C5,00,523.25,C5=C5+00 cents,balkan_kaba_gaida_d_centered
C+5,C+5,00,554.37,C+5=C+5+00 cents,balkan_kaba_gaida_d_centered
D5,D5,00,587.33,D5=D5+00 cents,balkan_kaba_gaida_d_centered
D+5,D+5,00,622.25,D+5=D+5+00 cents,balkan_kaba_gaida_d_centered
E5,D+5,65,646.06,E5=D+5+65 cents,balkan_kaba_gaida_d_centered
F5,F5,00,698.46,F5=F5+00 cents,balkan_kaba_gaida_d_centered
F+5,F+5,12,745.14,F+5=F+5+12 cents,balkan_kaba_gaida_d_centered
G5,G5,00,783.99,G5=G5+00 cents,balkan_kaba_gaida_d_centered
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_kaba_gaida_d_centered
A5,A5,00,880.00,A5=A5+00 cents,balkan_kaba_gaida_d_centered
A+5,A+5,00,932.33,A+5=A+5+00 cents,balkan_kaba_gaida_d_centered
B5,A+5,70,970.80,B5=A+5+70 cents,balkan_kaba_gaida_d_centered
C6,C6,00,1046.50,C6=C6+00 cents,balkan_kaba_gaida_d_centered
C+6,C+6,00,1108.73,C+6=C+6+00 cents,balkan_kaba_gaida_d_centered
D6,D6,00,1174.66,D6=D6+00 cents,balkan_kaba_gaida_d_centered
D+6,D+6,00,1244.51,D+6=D+6+00 cents,balkan_kaba_gaida_d_centered
E6,D+6,65,1292.12,E6=D+6+65 cents,balkan_kaba_gaida_d_centered
F6,F6,00,1396.91,F6=F6+00 cents,balkan_kaba_gaida_d_centered
F+6,F+6,12,1490.27,F+6=F+6+12 cents,balkan_kaba_gaida_d_centered
G6,G6,00,1567.98,G6=G6+00 cents,balkan_kaba_gaida_d_centered
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_kaba_gaida_d_centered
A6,A6,00,1760.00,A6=A6+00 cents,balkan_kaba_gaida_d_centered
A+6,A+6,00,1864.66,A+6=A+6+00 cents,balkan_kaba_gaida_d_centered
B6,A+6,70,1941.59,B6=A+6+70 cents,balkan_kaba_gaida_d_centered
C7,C7,00,2093.00,C7=C7+00 cents,balkan_kaba_gaida_d_centered
