source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2 00 cents,balkan_ussak_d_centered
C2+,C2,90,68.90,C2+=C2 90 cents,balkan_ussak_d_centered
D2,D2,00,73.42,D2=D2 00 cents,balkan_ussak_d_centered
D2+,D2+,00,77.78,D2+=D2+ 00 cents,balkan_ussak_d_centered
E2,D2+,55,80.29,E2=D2+ 55 cents,balkan_ussak_d_centered
F2,F2,00,87.31,F2=F2 00 cents,balkan_ussak_d_centered
F2+,F2+,00,92.50,F2+=F2+ 00 cents,balkan_ussak_d_centered
G2,G2,00,98.00,G2=G2 00 cents,balkan_ussak_d_centered
G2+,G2+,00,103.83,G2+=G2+ 00 cents,balkan_ussak_d_centered
A2,A2,00,110.00,A2=A2 00 cents,balkan_ussak_d_centered
A2+,A2+,00,116.54,A2+=A2+ 00 cents,balkan_ussak_d_centered
B2,A2+,65,121.00,B2=A2+ 65 cents,balkan_ussak_d_centered
C3,C3,00,130.81,C3=C3 00 cents,balkan_ussak_d_centered
C3+,C3,90,137.79,C3+=C3 90 cents,balkan_ussak_d_centered
D3,D3,00,146.83,D3=D3 00 cents,balkan_ussak_d_centered
D3+,D3+,00,155.56,D3+=D3+ 00 cents,balkan_ussak_d_centered
E3,D3+,55,160.58,E3=D3+ 55 cents,balkan_ussak_d_centered
F3,F3,00,174.61,F3=F3 00 cents,balkan_ussak_d_centered
F3+,F3+,00,185.00,F3+=F3+ 00 cents,balkan_ussak_d_centered
G3,G3,00,196.00,G3=G3 00 cents,balkan_ussak_d_centered
G3+,G3+,00,207.65,G3+=G3+ 00 cents,balkan_ussak_d_centered
A3,A3,00,220.00,A3=A3 00 cents,balkan_ussak_d_centered
A3+,A3+,00,233.08,A3+=A3+ 00 cents,balkan_ussak_d_centered
B3,A3+,65,242.00,B3=A3+ 65 cents,balkan_ussak_d_centered
C4,C4,00,261.63,C4=C4 00 cents,balkan_ussak_d_centered
C4+,C4,90,275.59,C4+=C4 90 cents,balkan_ussak_d_centered
D4,D4,00,293.66,D4=D4 00 cents,balkan_ussak_d_centered
D4+,D4+,00,311.13,D4+=D4+ 00 cents,balkan_ussak_d_centered
E4,D4+,55,321.17,E4=D4+ 55 cents,balkan_ussak_d_centered
F4,F4,00,349.23,F4=F4 00 cents,balkan_ussak_d_centered
F4+,F4+,00,369.99,F4+=F4+ 00 cents,balkan_ussak_d_centered
G4,G4,00,392.00,G4=G4 00 cents,balkan_ussak_d_centered
G4+,G4+,00,415.30,G4+=G4+ 00 cents,balkan_ussak_d_centered
A4,A4,00,440.00,A4=A4 00 cents,balkan_ussak_d_centered
A4+,A4+,00,466.16,A4+=A4+ 00 cents,balkan_ussak_d_centered
B4,A4+,65,484.00,B4=A4+ 65 cents,balkan_ussak_d_centered
C5,C5,00,523.25,C5=C5 00 cents,balkan_ussak_d_centered
C5+,C5,90,551.17,C5+=C5 90 cents,balkan_ussak_d_centered
D5,D5,00,587.33,D5=D5 00 cents,balkan_ussak_d_centered
D5+,D5+,00,622.25,D5+=D5+ 00 cents,balkan_ussak_d_centered
E5,D5+,55,642.34,E5=D5+ 55 cents,balkan_ussak_d_centered
F5,F5,00,698.46,F5=F5 00 cents,balkan_ussak_d_centered
F5+,F5+,00,739.99,F5+=F5+ 00 cents,balkan_ussak_d_centered
G5,G5,00,783.99,G5=G5 00 cents,balkan_ussak_d_centered
G5+,G5+,00,830.61,G5+=G5+ 00 cents,balkan_ussak_d_centered
A5,A5,00,880.00,A5=A5 00 cents,balkan_ussak_d_centered
A5+,A5+,00,932.33,A5+=A5+ 00 cents,balkan_ussak_d_centered
B5,A5+,65,968.00,B5=A5+ 65 cents,balkan_ussak_d_centered
C6,C6,00,1046.50,C6=C6 00 cents,balkan_ussak_d_centered
C6+,C6,90,1102.34,C6+=C6 90 cents,balkan_ussak_d_centered
D6,D6,00,1174.66,D6=D6 00 cents,balkan_ussak_d_centered
D6+,D6+,00,1244.51,D6+=D6+ 00 cents,balkan_ussak_d_centered
E6,D6+,55,1284.68,E6=D6+ 55 cents,balkan_ussak_d_centered
F6,F6,00,1396.91,F6=F6 00 cents,balkan_ussak_d_centered
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,balkan_ussak_d_centered
G6,G6,00,1567.98,G6=G6 00 cents,balkan_ussak_d_centered
G6+,G6+,00,1661.22,G6+=G6+ 00 cents,balkan_ussak_d_centered
A6,A6,00,1760.00,A6=A6 00 cents,balkan_ussak_d_centered
A6+,A6+,00,1864.66,A6+=A6+ 00 cents,balkan_ussak_d_centered
B6,A6+,65,1936.00,B6=A6+ 65 cents,balkan_ussak_d_centered
C7,C7,00,2093.00,C7=C7 00 cents,balkan_ussak_d_centered
