source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C3,16,132.01,C2=C3 16 cents,edo_19_linear
C2+,C3,79,136.92,C2+=C3 79 cents,edo_19_linear
D2,C3+,42,142.00,D2=C3+ 42 cents,edo_19_linear
D2+,D3,05,147.28,D2+=D3 05 cents,edo_19_linear
E2,D3,68,152.75,E2=D3 68 cents,edo_19_linear
F2,D3+,32,158.43,F2=D3+ 32 cents,edo_19_linear
F2+,D3+,95,164.31,F2+=D3+ 95 cents,edo_19_linear
G2,E3,58,170.42,G2=E3 58 cents,edo_19_linear
G2+,F3,21,176.75,G2+=F3 21 cents,edo_19_linear
A2,F3,84,183.32,A2=F3 84 cents,edo_19_linear
A2+,F3+,47,190.13,A2+=F3+ 47 cents,edo_19_linear
B2,G3,11,197.19,B2=G3 11 cents,edo_19_linear
C3,G3,74,204.52,C3=G3 74 cents,edo_19_linear
C3+,G3+,37,212.12,C3+=G3+ 37 cents,edo_19_linear
D3,A3,00,220.00,D3=A3 00 cents,edo_19_linear
D3+,A3,63,228.17,D3+=A3 63 cents,edo_19_linear
E3,A3+,26,236.65,E3=A3+ 26 cents,edo_19_linear
F3,A3+,89,245.44,F3=A3+ 89 cents,edo_19_linear
F3+,B3,53,254.56,F3+=B3 53 cents,edo_19_linear
G3,C4,16,264.02,G3=C4 16 cents,edo_19_linear
G3+,C4,79,273.83,G3+=C4 79 cents,edo_19_linear
A3,C4+,42,284.01,A3=C4+ 42 cents,edo_19_linear
A3+,D4,05,294.56,A3+=D4 05 cents,edo_19_linear
B3,D4,68,305.50,B3=D4 68 cents,edo_19_linear
C4,D4+,32,316.85,C4=D4+ 32 cents,edo_19_linear
C4+,D4+,95,328.63,C4+=D4+ 95 cents,edo_19_linear
D4,E4,58,340.84,D4=E4 58 cents,edo_19_linear
D4+,F4,21,353.50,D4+=F4 21 cents,edo_19_linear
E4,F4,84,366.64,E4=F4 84 cents,edo_19_linear
F4,F4+,47,380.26,F4=F4+ 47 cents,edo_19_linear
F4+,G4,11,394.39,F4+=G4 11 cents,edo_19_linear
G4,G4,74,409.04,G4=G4 74 cents,edo_19_linear
G4+,G4+,37,424.24,G4+=G4+ 37 cents,edo_19_linear
A4,A4,00,440.00,A4=A4 00 cents,edo_19_linear
A4+,A4,63,456.35,A4+=A4 63 cents,edo_19_linear
B4,A4+,26,473.30,B4=A4+ 26 cents,edo_19_linear
C5,A4+,89,490.89,C5=A4+ 89 cents,edo_19_linear
C5+,B4,53,509.13,C5+=B4 53 cents,edo_19_linear
D5,C5,16,528.05,D5=C5 16 cents,edo_19_linear
D5+,C5,79,547.66,D5+=C5 79 cents,edo_19_linear
E5,C5+,42,568.01,E5=C5+ 42 cents,edo_19_linear
F5,D5,05,589.12,F5=D5 05 cents,edo_19_linear
F5+,D5,68,611.01,F5+=D5 68 cents,edo_19_linear
G5,D5+,32,633.71,G5=D5+ 32 cents,edo_19_linear
G5+,D5+,95,657.25,G5+=D5+ 95 cents,edo_19_linear
A5,E5,58,681.67,A5=E5 58 cents,edo_19_linear
A5+,F5,21,707.00,A5+=F5 21 cents,edo_19_linear
B5,F5,84,733.27,B5=F5 84 cents,edo_19_linear
C6,F5+,47,760.52,C6=F5+ 47 cents,edo_19_linear
C6+,G5,11,788.77,C6+=G5 11 cents,edo_19_linear
D6,G5,74,818.08,D6=G5 74 cents,edo_19_linear
D6+,G5+,37,848.47,D6+=G5+ 37 cents,edo_19_linear
E6,A5,00,880.00,E6=A5 00 cents,edo_19_linear
F6,A5,63,912.70,F6=A5 63 cents,edo_19_linear
F6+,A5+,26,946.61,F6+=A5+ 26 cents,edo_19_linear
G6,A5+,89,981.78,G6=A5+ 89 cents,edo_19_linear
G6+,B5,53,1018.26,G6+=B5 53 cents,edo_19_linear
A6,C6,16,1056.09,A6=C6 16 cents,edo_19_linear
A6+,C6,79,1095.33,A6+=C6 79 cents,edo_19_linear
B6,C6+,42,1136.03,B6=C6+ 42 cents,edo_19_linear
C7,D6,05,1178.24,C7=D6 05 cents,edo_19_linear
