source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,indian_just_major_c_5limit
C+2,C+2,00,C+2=C+2+00 cents,indian_just_major_c_5limit
D2,C+2,96,D2=C+2+96 cents,indian_just_major_c_5limit
D+2,D+2,00,D+2=D+2+00 cents,indian_just_major_c_5limit
E2,D+2,86,E2=D+2+86 cents,indian_just_major_c_5limit
F2,F2,02,F2=F2+02 cents,indian_just_major_c_5limit
F+2,F+2,00,F+2=F+2+00 cents,indian_just_major_c_5limit
G2,G2,02,G2=G2+02 cents,indian_just_major_c_5limit
G+2,G+2,00,G+2=G+2+00 cents,indian_just_major_c_5limit
A2,G+2,84,A2=G+2+84 cents,indian_just_major_c_5limit
A+2,A+2,00,A+2=A+2+00 cents,indian_just_major_c_5limit
B2,A+2,88,B2=A+2+88 cents,indian_just_major_c_5limit
C3,C3,00,C3=C3+00 cents,indian_just_major_c_5limit
C+3,C+3,00,C+3=C+3+00 cents,indian_just_major_c_5limit
D3,C+3,96,D3=C+3+96 cents,indian_just_major_c_5limit
D+3,D+3,00,D+3=D+3+00 cents,indian_just_major_c_5limit
E3,D+3,86,E3=D+3+86 cents,indian_just_major_c_5limit
F3,F3,02,F3=F3+02 cents,indian_just_major_c_5limit
F+3,F+3,00,F+3=F+3+00 cents,indian_just_major_c_5limit
G3,G3,02,G3=G3+02 cents,indian_just_major_c_5limit
G+3,G+3,00,G+3=G+3+00 cents,indian_just_major_c_5limit
A3,G+3,84,A3=G+3+84 cents,indian_just_major_c_5limit
A+3,A+3,00,A+3=A+3+00 cents,indian_just_major_c_5limit
B3,A+3,88,B3=A+3+88 cents,indian_just_major_c_5limit
C4,C4,00,C4=C4+00 cents,indian_just_major_c_5limit
C+4,C+4,00,C+4=C+4+00 cents,indian_just_major_c_5limit
D4,C+4,96,D4=C+4+96 cents,indian_just_major_c_5limit
D+4,D+4,00,D+4=D+4+00 cents,indian_just_major_c_5limit
E4,D+4,86,E4=D+4+86 cents,indian_just_major_c_5limit
F4,F4,02,F4=F4+02 cents,indian_just_major_c_5limit
F+4,F+4,00,F+4=F+4+00 cents,indian_just_major_c_5limit
G4,G4,02,G4=G4+02 cents,indian_just_major_c_5limit
G+4,G+4,00,G+4=G+4+00 cents,indian_just_major_c_5limit
A4,G+4,84,A4=G+4+84 cents,indian_just_major_c_5limit
A+4,A+4,00,A+4=A+4+00 cents,indian_just_major_c_5limit
B4,A+4,88,B4=A+4+88 cents,indian_just_major_c_5limit
C5,C5,00,C5=C5+00 cents,indian_just_major_c_5limit
C+5,C+5,00,C+5=C+5+00 cents,indian_just_major_c_5limit
D5,C+5,96,D5=C+5+96 cents,indian_just_major_c_5limit
D+5,D+5,00,D+5=D+5+00 cents,indian_just_major_c_5limit
E5,D+5,86,E5=D+5+86 cents,indian_just_major_c_5limit
F5,F5,02,F5=F5+02 cents,indian_just_major_c_5limit
F+5,F+5,00,F+5=F+5+00 cents,indian_just_major_c_5limit
G5,G5,02,G5=G5+02 cents,indian_just_major_c_5limit
G+5,G+5,00,G+5=G+5+00 cents,indian_just_major_c_5limit
A5,G+5,84,A5=G+5+84 cents,indian_just_major_c_5limit
A+5,A+5,00,A+5=A+5+00 cents,indian_just_major_c_5limit
B5,A+5,88,B5=A+5+88 cents,indian_just_major_c_5limit
C6,C6,00,C6=C6+00 cents,indian_just_major_c_5limit
C+6,C+6,00,C+6=C+6+00 cents,indian_just_major_c_5limit
D6,C+6,96,D6=C+6+96 cents,indian_just_major_c_5limit
D+6,D+6,00,D+6=D+6+00 cents,indian_just_major_c_5limit
E6,D+6,86,E6=D+6+86 cents,indian_just_major_c_5limit
F6,F6,02,F6=F6+02 cents,indian_just_major_c_5limit
F+6,F+6,00,F+6=F+6+00 cents,indian_just_major_c_5limit
G6,G6,02,G6=G6+02 cents,indian_just_major_c_5limit
G+6,G+6,00,G+6=G+6+00 cents,indian_just_major_c_5limit
A6,G+6,84,A6=G+6+84 cents,indian_just_major_c_5limit
A+6,A+6,00,A+6=A+6+00 cents,indian_just_major_c_5limit
B6,A+6,88,B6=A+6+88 cents,indian_just_major_c_5limit
C7,C7,00,C7=C7+00 cents,indian_just_major_c_5limit
