source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,indonesian_pelog_approx
C+2,C+2,00,C+2=C+2+00 cents,indonesian_pelog_approx
D2,C+2,70,D2=C+2+70 cents,indonesian_pelog_approx
D+2,D+2,00,D+2=D+2+00 cents,indonesian_pelog_approx
E2,E2,20,E2=E2+20 cents,indonesian_pelog_approx
F2,F2,00,F2=F2+00 cents,indonesian_pelog_approx
F+2,F2,60,F+2=F2+60 cents,indonesian_pelog_approx
G2,G2,10,G2=G2+10 cents,indonesian_pelog_approx
G+2,G+2,00,G+2=G+2+00 cents,indonesian_pelog_approx
A2,G+2,80,A2=G+2+80 cents,indonesian_pelog_approx
A+2,A+2,00,A+2=A+2+00 cents,indonesian_pelog_approx
B2,B2,30,B2=B2+30 cents,indonesian_pelog_approx
C3,C3,00,C3=C3+00 cents,indonesian_pelog_approx
C+3,C+3,00,C+3=C+3+00 cents,indonesian_pelog_approx
D3,C+3,70,D3=C+3+70 cents,indonesian_pelog_approx
D+3,D+3,00,D+3=D+3+00 cents,indonesian_pelog_approx
E3,E3,20,E3=E3+20 cents,indonesian_pelog_approx
F3,F3,00,F3=F3+00 cents,indonesian_pelog_approx
F+3,F3,60,F+3=F3+60 cents,indonesian_pelog_approx
G3,G3,10,G3=G3+10 cents,indonesian_pelog_approx
G+3,G+3,00,G+3=G+3+00 cents,indonesian_pelog_approx
A3,G+3,80,A3=G+3+80 cents,indonesian_pelog_approx
A+3,A+3,00,A+3=A+3+00 cents,indonesian_pelog_approx
B3,B3,30,B3=B3+30 cents,indonesian_pelog_approx
C4,C4,00,C4=C4+00 cents,indonesian_pelog_approx
C+4,C+4,00,C+4=C+4+00 cents,indonesian_pelog_approx
D4,C+4,70,D4=C+4+70 cents,indonesian_pelog_approx
D+4,D+4,00,D+4=D+4+00 cents,indonesian_pelog_approx
E4,E4,20,E4=E4+20 cents,indonesian_pelog_approx
F4,F4,00,F4=F4+00 cents,indonesian_pelog_approx
F+4,F4,60,F+4=F4+60 cents,indonesian_pelog_approx
G4,G4,10,G4=G4+10 cents,indonesian_pelog_approx
G+4,G+4,00,G+4=G+4+00 cents,indonesian_pelog_approx
A4,G+4,80,A4=G+4+80 cents,indonesian_pelog_approx
A+4,A+4,00,A+4=A+4+00 cents,indonesian_pelog_approx
B4,B4,30,B4=B4+30 cents,indonesian_pelog_approx
C5,C5,00,C5=C5+00 cents,indonesian_pelog_approx
C+5,C+5,00,C+5=C+5+00 cents,indonesian_pelog_approx
D5,C+5,70,D5=C+5+70 cents,indonesian_pelog_approx
D+5,D+5,00,D+5=D+5+00 cents,indonesian_pelog_approx
E5,E5,20,E5=E5+20 cents,indonesian_pelog_approx
F5,F5,00,F5=F5+00 cents,indonesian_pelog_approx
F+5,F5,60,F+5=F5+60 cents,indonesian_pelog_approx
G5,G5,10,G5=G5+10 cents,indonesian_pelog_approx
G+5,G+5,00,G+5=G+5+00 cents,indonesian_pelog_approx
A5,G+5,80,A5=G+5+80 cents,indonesian_pelog_approx
A+5,A+5,00,A+5=A+5+00 cents,indonesian_pelog_approx
B5,B5,30,B5=B5+30 cents,indonesian_pelog_approx
C6,C6,00,C6=C6+00 cents,indonesian_pelog_approx
C+6,C+6,00,C+6=C+6+00 cents,indonesian_pelog_approx
D6,C+6,70,D6=C+6+70 cents,indonesian_pelog_approx
D+6,D+6,00,D+6=D+6+00 cents,indonesian_pelog_approx
E6,E6,20,E6=E6+20 cents,indonesian_pelog_approx
F6,F6,00,F6=F6+00 cents,indonesian_pelog_approx
F+6,F6,60,F+6=F6+60 cents,indonesian_pelog_approx
G6,G6,10,G6=G6+10 cents,indonesian_pelog_approx
G+6,G+6,00,G+6=G+6+00 cents,indonesian_pelog_approx
A6,G+6,80,A6=G+6+80 cents,indonesian_pelog_approx
A+6,A+6,00,A+6=A+6+00 cents,indonesian_pelog_approx
B6,B6,30,B6=B6+30 cents,indonesian_pelog_approx
C7,C7,00,C7=C7+00 cents,indonesian_pelog_approx
