source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,indonesian_slendro_approx
C+2,C+2,00,C+2=C+2+00 cents,indonesian_slendro_approx
D2,D2,40,D2=D2+40 cents,indonesian_slendro_approx
D+2,D+2,00,D+2=D+2+00 cents,indonesian_slendro_approx
E2,D+2,80,E2=D+2+80 cents,indonesian_slendro_approx
F2,F2,00,F2=F2+00 cents,indonesian_slendro_approx
F+2,F+2,00,F+2=F+2+00 cents,indonesian_slendro_approx
G2,G2,20,G2=G2+20 cents,indonesian_slendro_approx
G+2,G+2,00,G+2=G+2+00 cents,indonesian_slendro_approx
A2,G+2,60,A2=G+2+60 cents,indonesian_slendro_approx
A+2,A+2,00,A+2=A+2+00 cents,indonesian_slendro_approx
B2,B2,00,B2=B2+00 cents,indonesian_slendro_approx
C3,C3,00,C3=C3+00 cents,indonesian_slendro_approx
C+3,C+3,00,C+3=C+3+00 cents,indonesian_slendro_approx
D3,D3,40,D3=D3+40 cents,indonesian_slendro_approx
D+3,D+3,00,D+3=D+3+00 cents,indonesian_slendro_approx
E3,D+3,80,E3=D+3+80 cents,indonesian_slendro_approx
F3,F3,00,F3=F3+00 cents,indonesian_slendro_approx
F+3,F+3,00,F+3=F+3+00 cents,indonesian_slendro_approx
G3,G3,20,G3=G3+20 cents,indonesian_slendro_approx
G+3,G+3,00,G+3=G+3+00 cents,indonesian_slendro_approx
A3,G+3,60,A3=G+3+60 cents,indonesian_slendro_approx
A+3,A+3,00,A+3=A+3+00 cents,indonesian_slendro_approx
B3,B3,00,B3=B3+00 cents,indonesian_slendro_approx
C4,C4,00,C4=C4+00 cents,indonesian_slendro_approx
C+4,C+4,00,C+4=C+4+00 cents,indonesian_slendro_approx
D4,D4,40,D4=D4+40 cents,indonesian_slendro_approx
D+4,D+4,00,D+4=D+4+00 cents,indonesian_slendro_approx
E4,D+4,80,E4=D+4+80 cents,indonesian_slendro_approx
F4,F4,00,F4=F4+00 cents,indonesian_slendro_approx
F+4,F+4,00,F+4=F+4+00 cents,indonesian_slendro_approx
G4,G4,20,G4=G4+20 cents,indonesian_slendro_approx
G+4,G+4,00,G+4=G+4+00 cents,indonesian_slendro_approx
A4,G+4,60,A4=G+4+60 cents,indonesian_slendro_approx
A+4,A+4,00,A+4=A+4+00 cents,indonesian_slendro_approx
B4,B4,00,B4=B4+00 cents,indonesian_slendro_approx
C5,C5,00,C5=C5+00 cents,indonesian_slendro_approx
C+5,C+5,00,C+5=C+5+00 cents,indonesian_slendro_approx
D5,D5,40,D5=D5+40 cents,indonesian_slendro_approx
D+5,D+5,00,D+5=D+5+00 cents,indonesian_slendro_approx
E5,D+5,80,E5=D+5+80 cents,indonesian_slendro_approx
F5,F5,00,F5=F5+00 cents,indonesian_slendro_approx
F+5,F+5,00,F+5=F+5+00 cents,indonesian_slendro_approx
G5,G5,20,G5=G5+20 cents,indonesian_slendro_approx
G+5,G+5,00,G+5=G+5+00 cents,indonesian_slendro_approx
A5,G+5,60,A5=G+5+60 cents,indonesian_slendro_approx
A+5,A+5,00,A+5=A+5+00 cents,indonesian_slendro_approx
B5,B5,00,B5=B5+00 cents,indonesian_slendro_approx
C6,C6,00,C6=C6+00 cents,indonesian_slendro_approx
C+6,C+6,00,C+6=C+6+00 cents,indonesian_slendro_approx
D6,D6,40,D6=D6+40 cents,indonesian_slendro_approx
D+6,D+6,00,D+6=D+6+00 cents,indonesian_slendro_approx
E6,D+6,80,E6=D+6+80 cents,indonesian_slendro_approx
F6,F6,00,F6=F6+00 cents,indonesian_slendro_approx
F+6,F+6,00,F+6=F+6+00 cents,indonesian_slendro_approx
G6,G6,20,G6=G6+20 cents,indonesian_slendro_approx
G+6,G+6,00,G+6=G+6+00 cents,indonesian_slendro_approx
A6,G+6,60,A6=G+6+60 cents,indonesian_slendro_approx
A+6,A+6,00,A+6=A+6+00 cents,indonesian_slendro_approx
B6,B6,00,B6=B6+00 cents,indonesian_slendro_approx
C7,C7,00,C7=C7+00 cents,indonesian_slendro_approx
