source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2 00 cents,persian_homayun_d_approx
C2+,C2+,00,69.30,C2+=C2+ 00 cents,persian_homayun_d_approx
D2,D2,00,73.42,D2=D2 00 cents,persian_homayun_d_approx
D2+,D2+,00,77.78,D2+=D2+ 00 cents,persian_homayun_d_approx
E2,D2+,50,80.06,E2=D2+ 50 cents,persian_homayun_d_approx
F2,F2,00,87.31,F2=F2 00 cents,persian_homayun_d_approx
F2+,F2+,00,92.50,F2+=F2+ 00 cents,persian_homayun_d_approx
G2,G2,00,98.00,G2=G2 00 cents,persian_homayun_d_approx
G2+,G2+,00,103.83,G2+=G2+ 00 cents,persian_homayun_d_approx
A2,G2+,65,107.80,A2=G2+ 65 cents,persian_homayun_d_approx
A2+,A2+,00,116.54,A2+=A2+ 00 cents,persian_homayun_d_approx
B2,A2+,50,119.96,B2=A2+ 50 cents,persian_homayun_d_approx
C3,C3,00,130.81,C3=C3 00 cents,persian_homayun_d_approx
C3+,C3+,00,138.59,C3+=C3+ 00 cents,persian_homayun_d_approx
D3,D3,00,146.83,D3=D3 00 cents,persian_homayun_d_approx
D3+,D3+,00,155.56,D3+=D3+ 00 cents,persian_homayun_d_approx
E3,D3+,50,160.12,E3=D3+ 50 cents,persian_homayun_d_approx
F3,F3,00,174.61,F3=F3 00 cents,persian_homayun_d_approx
F3+,F3+,00,185.00,F3+=F3+ 00 cents,persian_homayun_d_approx
G3,G3,00,196.00,G3=G3 00 cents,persian_homayun_d_approx
G3+,G3+,00,207.65,G3+=G3+ 00 cents,persian_homayun_d_approx
A3,G3+,65,215.60,A3=G3+ 65 cents,persian_homayun_d_approx
A3+,A3+,00,233.08,A3+=A3+ 00 cents,persian_homayun_d_approx
B3,A3+,50,239.91,B3=A3+ 50 cents,persian_homayun_d_approx
C4,C4,00,261.63,C4=C4 00 cents,persian_homayun_d_approx
C4+,C4+,00,277.18,C4+=C4+ 00 cents,persian_homayun_d_approx
D4,D4,00,293.66,D4=D4 00 cents,persian_homayun_d_approx
D4+,D4+,00,311.13,D4+=D4+ 00 cents,persian_homayun_d_approx
E4,D4+,50,320.24,E4=D4+ 50 cents,persian_homayun_d_approx
F4,F4,00,349.23,F4=F4 00 cents,persian_homayun_d_approx
F4+,F4+,00,369.99,F4+=F4+ 00 cents,persian_homayun_d_approx
G4,G4,00,392.00,G4=G4 00 cents,persian_homayun_d_approx
G4+,G4+,00,415.30,G4+=G4+ 00 cents,persian_homayun_d_approx
A4,G4+,65,431.19,A4=G4+ 65 cents,persian_homayun_d_approx
A4+,A4+,00,466.16,A4+=A4+ 00 cents,persian_homayun_d_approx
B4,A4+,50,479.82,B4=A4+ 50 cents,persian_homayun_d_approx
C5,C5,00,523.25,C5=C5 00 cents,persian_homayun_d_approx
C5+,C5+,00,554.37,C5+=C5+ 00 cents,persian_homayun_d_approx
D5,D5,00,587.33,D5=D5 00 cents,persian_homayun_d_approx
D5+,D5+,00,622.25,D5+=D5+ 00 cents,persian_homayun_d_approx
E5,D5+,50,640.49,E5=D5+ 50 cents,persian_homayun_d_approx
F5,F5,00,698.46,F5=F5 00 cents,persian_homayun_d_approx
F5+,F5+,00,739.99,F5+=F5+ 00 cents,persian_homayun_d_approx
G5,G5,00,783.99,G5=G5 00 cents,persian_homayun_d_approx
G5+,G5+,00,830.61,G5+=G5+ 00 cents,persian_homayun_d_approx
A5,G5+,65,862.39,A5=G5+ 65 cents,persian_homayun_d_approx
A5+,A5+,00,932.33,A5+=A5+ 00 cents,persian_homayun_d_approx
B5,A5+,50,959.65,B5=A5+ 50 cents,persian_homayun_d_approx
C6,C6,00,1046.50,C6=C6 00 cents,persian_homayun_d_approx
C6+,C6+,00,1108.73,C6+=C6+ 00 cents,persian_homayun_d_approx
D6,D6,00,1174.66,D6=D6 00 cents,persian_homayun_d_approx
D6+,D6+,00,1244.51,D6+=D6+ 00 cents,persian_homayun_d_approx
E6,D6+,50,1280.97,E6=D6+ 50 cents,persian_homayun_d_approx
F6,F6,00,1396.91,F6=F6 00 cents,persian_homayun_d_approx
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,persian_homayun_d_approx
G6,G6,00,1567.98,G6=G6 00 cents,persian_homayun_d_approx
G6+,G6+,00,1661.22,G6+=G6+ 00 cents,persian_homayun_d_approx
A6,G6+,65,1724.78,A6=G6+ 65 cents,persian_homayun_d_approx
A6+,A6+,00,1864.66,A6+=A6+ 00 cents,persian_homayun_d_approx
B6,A6+,50,1919.29,B6=A6+ 50 cents,persian_homayun_d_approx
C7,C7,00,2093.00,C7=C7 00 cents,persian_homayun_d_approx
