source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2 00 cents,turkish_hicaz_a_aeu_approx
C2+,C2,86,68.74,C2+=C2 86 cents,turkish_hicaz_a_aeu_approx
D2,C2+,98,73.33,D2=C2+ 98 cents,turkish_hicaz_a_aeu_approx
D2+,D2+,00,77.78,D2+=D2+ 00 cents,turkish_hicaz_a_aeu_approx
E2,E2,02,82.50,E2=E2 02 cents,turkish_hicaz_a_aeu_approx
F2,F2,14,88.02,F2=F2 14 cents,turkish_hicaz_a_aeu_approx
F2+,F2+,00,92.50,F2+=F2+ 00 cents,turkish_hicaz_a_aeu_approx
G2,F2+,88,97.32,G2=F2+ 88 cents,turkish_hicaz_a_aeu_approx
G2+,G2+,00,103.83,G2+=G2+ 00 cents,turkish_hicaz_a_aeu_approx
A2,A2,00,110.00,A2=A2 00 cents,turkish_hicaz_a_aeu_approx
A2+,A2+,13,117.42,A2+=A2+ 13 cents,turkish_hicaz_a_aeu_approx
B2,B2,00,123.47,B2=B2 00 cents,turkish_hicaz_a_aeu_approx
C3,C3,00,130.81,C3=C3 00 cents,turkish_hicaz_a_aeu_approx
C3+,C3,86,137.48,C3+=C3 86 cents,turkish_hicaz_a_aeu_approx
D3,C3+,98,146.66,D3=C3+ 98 cents,turkish_hicaz_a_aeu_approx
D3+,D3+,00,155.56,D3+=D3+ 00 cents,turkish_hicaz_a_aeu_approx
E3,E3,02,165.00,E3=E3 02 cents,turkish_hicaz_a_aeu_approx
F3,F3,14,176.03,F3=F3 14 cents,turkish_hicaz_a_aeu_approx
F3+,F3+,00,185.00,F3+=F3+ 00 cents,turkish_hicaz_a_aeu_approx
G3,F3+,88,194.64,G3=F3+ 88 cents,turkish_hicaz_a_aeu_approx
G3+,G3+,00,207.65,G3+=G3+ 00 cents,turkish_hicaz_a_aeu_approx
A3,A3,00,220.00,A3=A3 00 cents,turkish_hicaz_a_aeu_approx
A3+,A3+,13,234.84,A3+=A3+ 13 cents,turkish_hicaz_a_aeu_approx
B3,B3,00,246.94,B3=B3 00 cents,turkish_hicaz_a_aeu_approx
C4,C4,00,261.63,C4=C4 00 cents,turkish_hicaz_a_aeu_approx
C4+,C4,86,274.95,C4+=C4 86 cents,turkish_hicaz_a_aeu_approx
D4,C4+,98,293.33,D4=C4+ 98 cents,turkish_hicaz_a_aeu_approx
D4+,D4+,00,311.13,D4+=D4+ 00 cents,turkish_hicaz_a_aeu_approx
E4,E4,02,330.01,E4=E4 02 cents,turkish_hicaz_a_aeu_approx
F4,F4,14,352.06,F4=F4 14 cents,turkish_hicaz_a_aeu_approx
F4+,F4+,00,369.99,F4+=F4+ 00 cents,turkish_hicaz_a_aeu_approx
G4,F4+,88,389.29,G4=F4+ 88 cents,turkish_hicaz_a_aeu_approx
G4+,G4+,00,415.30,G4+=G4+ 00 cents,turkish_hicaz_a_aeu_approx
A4,A4,00,440.00,A4=A4 00 cents,turkish_hicaz_a_aeu_approx
A4+,A4+,13,469.68,A4+=A4+ 13 cents,turkish_hicaz_a_aeu_approx
B4,B4,00,493.88,B4=B4 00 cents,turkish_hicaz_a_aeu_approx
C5,C5,00,523.25,C5=C5 00 cents,turkish_hicaz_a_aeu_approx
C5+,C5,86,549.90,C5+=C5 86 cents,turkish_hicaz_a_aeu_approx
D5,C5+,98,586.65,D5=C5+ 98 cents,turkish_hicaz_a_aeu_approx
D5+,D5+,00,622.25,D5+=D5+ 00 cents,turkish_hicaz_a_aeu_approx
E5,E5,02,660.02,E5=E5 02 cents,turkish_hicaz_a_aeu_approx
F5,F5,14,704.13,F5=F5 14 cents,turkish_hicaz_a_aeu_approx
F5+,F5+,00,739.99,F5+=F5+ 00 cents,turkish_hicaz_a_aeu_approx
G5,F5+,88,778.58,G5=F5+ 88 cents,turkish_hicaz_a_aeu_approx
G5+,G5+,00,830.61,G5+=G5+ 00 cents,turkish_hicaz_a_aeu_approx
A5,A5,00,880.00,A5=A5 00 cents,turkish_hicaz_a_aeu_approx
A5+,A5+,13,939.35,A5+=A5+ 13 cents,turkish_hicaz_a_aeu_approx
B5,B5,00,987.77,B5=B5 00 cents,turkish_hicaz_a_aeu_approx
C6,C6,00,1046.50,C6=C6 00 cents,turkish_hicaz_a_aeu_approx
C6+,C6,86,1099.80,C6+=C6 86 cents,turkish_hicaz_a_aeu_approx
D6,C6+,98,1173.30,D6=C6+ 98 cents,turkish_hicaz_a_aeu_approx
D6+,D6+,00,1244.51,D6+=D6+ 00 cents,turkish_hicaz_a_aeu_approx
E6,E6,02,1320.03,E6=E6 02 cents,turkish_hicaz_a_aeu_approx
F6,F6,14,1408.26,F6=F6 14 cents,turkish_hicaz_a_aeu_approx
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,turkish_hicaz_a_aeu_approx
G6,F6+,88,1557.15,G6=F6+ 88 cents,turkish_hicaz_a_aeu_approx
G6+,G6+,00,1661.22,G6+=G6+ 00 cents,turkish_hicaz_a_aeu_approx
A6,A6,00,1760.00,A6=A6 00 cents,turkish_hicaz_a_aeu_approx
A6+,A6+,13,1878.71,A6+=A6+ 13 cents,turkish_hicaz_a_aeu_approx
B6,B6,00,1975.53,B6=B6 00 cents,turkish_hicaz_a_aeu_approx
C7,C7,00,2093.00,C7=C7 00 cents,turkish_hicaz_a_aeu_approx
