source_key,target_note,offset_cents,display_mapping,tuning_name
C2,B1,88,C2=B1+88 cents,turkish_hicaz_d_aeu_approx
C+2,C+2,00,C+2=C+2+00 cents,turkish_hicaz_d_aeu_approx
D2,D2,00,D2=D2+00 cents,turkish_hicaz_d_aeu_approx
D+2,D+2,13,D+2=D+2+13 cents,turkish_hicaz_d_aeu_approx
E2,E2,00,E2=E2+00 cents,turkish_hicaz_d_aeu_approx
F2,F2,00,F2=F2+00 cents,turkish_hicaz_d_aeu_approx
F+2,F2,86,F+2=F2+86 cents,turkish_hicaz_d_aeu_approx
G2,F+2,98,G2=F+2+98 cents,turkish_hicaz_d_aeu_approx
G+2,G+2,00,G+2=G+2+00 cents,turkish_hicaz_d_aeu_approx
A2,A2,02,A2=A2+02 cents,turkish_hicaz_d_aeu_approx
A+2,A+2,14,A+2=A+2+14 cents,turkish_hicaz_d_aeu_approx
B2,B2,00,B2=B2+00 cents,turkish_hicaz_d_aeu_approx
C3,B2,88,C3=B2+88 cents,turkish_hicaz_d_aeu_approx
C+3,C+3,00,C+3=C+3+00 cents,turkish_hicaz_d_aeu_approx
D3,D3,00,D3=D3+00 cents,turkish_hicaz_d_aeu_approx
D+3,D+3,13,D+3=D+3+13 cents,turkish_hicaz_d_aeu_approx
E3,E3,00,E3=E3+00 cents,turkish_hicaz_d_aeu_approx
F3,F3,00,F3=F3+00 cents,turkish_hicaz_d_aeu_approx
F+3,F3,86,F+3=F3+86 cents,turkish_hicaz_d_aeu_approx
G3,F+3,98,G3=F+3+98 cents,turkish_hicaz_d_aeu_approx
G+3,G+3,00,G+3=G+3+00 cents,turkish_hicaz_d_aeu_approx
A3,A3,02,A3=A3+02 cents,turkish_hicaz_d_aeu_approx
A+3,A+3,14,A+3=A+3+14 cents,turkish_hicaz_d_aeu_approx
B3,B3,00,B3=B3+00 cents,turkish_hicaz_d_aeu_approx
C4,B3,88,C4=B3+88 cents,turkish_hicaz_d_aeu_approx
C+4,C+4,00,C+4=C+4+00 cents,turkish_hicaz_d_aeu_approx
D4,D4,00,D4=D4+00 cents,turkish_hicaz_d_aeu_approx
D+4,D+4,13,D+4=D+4+13 cents,turkish_hicaz_d_aeu_approx
E4,E4,00,E4=E4+00 cents,turkish_hicaz_d_aeu_approx
F4,F4,00,F4=F4+00 cents,turkish_hicaz_d_aeu_approx
F+4,F4,86,F+4=F4+86 cents,turkish_hicaz_d_aeu_approx
G4,F+4,98,G4=F+4+98 cents,turkish_hicaz_d_aeu_approx
G+4,G+4,00,G+4=G+4+00 cents,turkish_hicaz_d_aeu_approx
A4,A4,02,A4=A4+02 cents,turkish_hicaz_d_aeu_approx
A+4,A+4,14,A+4=A+4+14 cents,turkish_hicaz_d_aeu_approx
B4,B4,00,B4=B4+00 cents,turkish_hicaz_d_aeu_approx
C5,B4,88,C5=B4+88 cents,turkish_hicaz_d_aeu_approx
C+5,C+5,00,C+5=C+5+00 cents,turkish_hicaz_d_aeu_approx
D5,D5,00,D5=D5+00 cents,turkish_hicaz_d_aeu_approx
D+5,D+5,13,D+5=D+5+13 cents,turkish_hicaz_d_aeu_approx
E5,E5,00,E5=E5+00 cents,turkish_hicaz_d_aeu_approx
F5,F5,00,F5=F5+00 cents,turkish_hicaz_d_aeu_approx
F+5,F5,86,F+5=F5+86 cents,turkish_hicaz_d_aeu_approx
G5,F+5,98,G5=F+5+98 cents,turkish_hicaz_d_aeu_approx
G+5,G+5,00,G+5=G+5+00 cents,turkish_hicaz_d_aeu_approx
A5,A5,02,A5=A5+02 cents,turkish_hicaz_d_aeu_approx
A+5,A+5,14,A+5=A+5+14 cents,turkish_hicaz_d_aeu_approx
B5,B5,00,B5=B5+00 cents,turkish_hicaz_d_aeu_approx
C6,B5,88,C6=B5+88 cents,turkish_hicaz_d_aeu_approx
C+6,C+6,00,C+6=C+6+00 cents,turkish_hicaz_d_aeu_approx
D6,D6,00,D6=D6+00 cents,turkish_hicaz_d_aeu_approx
D+6,D+6,13,D+6=D+6+13 cents,turkish_hicaz_d_aeu_approx
E6,E6,00,E6=E6+00 cents,turkish_hicaz_d_aeu_approx
F6,F6,00,F6=F6+00 cents,turkish_hicaz_d_aeu_approx
F+6,F6,86,F+6=F6+86 cents,turkish_hicaz_d_aeu_approx
G6,F+6,98,G6=F+6+98 cents,turkish_hicaz_d_aeu_approx
G+6,G+6,00,G+6=G+6+00 cents,turkish_hicaz_d_aeu_approx
A6,A6,02,A6=A6+02 cents,turkish_hicaz_d_aeu_approx
A+6,A+6,14,A+6=A+6+14 cents,turkish_hicaz_d_aeu_approx
B6,B6,00,B6=B6+00 cents,turkish_hicaz_d_aeu_approx
C7,B6,88,C7=B6+88 cents,turkish_hicaz_d_aeu_approx
