source_key,target_note,offset_cents,display_mapping,tuning_name
C2,B1,98,C2=B1+98 cents,turkish_hicaz_g_aeu_approx
C+2,C+2,00,C+2=C+2+00 cents,turkish_hicaz_g_aeu_approx
D2,D2,02,D2=D2+02 cents,turkish_hicaz_g_aeu_approx
D+2,D+2,14,D+2=D+2+14 cents,turkish_hicaz_g_aeu_approx
E2,E2,00,E2=E2+00 cents,turkish_hicaz_g_aeu_approx
F2,E2,88,F2=E2+88 cents,turkish_hicaz_g_aeu_approx
F+2,F+2,00,F+2=F+2+00 cents,turkish_hicaz_g_aeu_approx
G2,G2,00,G2=G2+00 cents,turkish_hicaz_g_aeu_approx
G+2,G+2,13,G+2=G+2+13 cents,turkish_hicaz_g_aeu_approx
A2,A2,00,A2=A2+00 cents,turkish_hicaz_g_aeu_approx
A+2,A+2,00,A+2=A+2+00 cents,turkish_hicaz_g_aeu_approx
B2,A+2,86,B2=A+2+86 cents,turkish_hicaz_g_aeu_approx
C3,B2,98,C3=B2+98 cents,turkish_hicaz_g_aeu_approx
C+3,C+3,00,C+3=C+3+00 cents,turkish_hicaz_g_aeu_approx
D3,D3,02,D3=D3+02 cents,turkish_hicaz_g_aeu_approx
D+3,D+3,14,D+3=D+3+14 cents,turkish_hicaz_g_aeu_approx
E3,E3,00,E3=E3+00 cents,turkish_hicaz_g_aeu_approx
F3,E3,88,F3=E3+88 cents,turkish_hicaz_g_aeu_approx
F+3,F+3,00,F+3=F+3+00 cents,turkish_hicaz_g_aeu_approx
G3,G3,00,G3=G3+00 cents,turkish_hicaz_g_aeu_approx
G+3,G+3,13,G+3=G+3+13 cents,turkish_hicaz_g_aeu_approx
A3,A3,00,A3=A3+00 cents,turkish_hicaz_g_aeu_approx
A+3,A+3,00,A+3=A+3+00 cents,turkish_hicaz_g_aeu_approx
B3,A+3,86,B3=A+3+86 cents,turkish_hicaz_g_aeu_approx
C4,B3,98,C4=B3+98 cents,turkish_hicaz_g_aeu_approx
C+4,C+4,00,C+4=C+4+00 cents,turkish_hicaz_g_aeu_approx
D4,D4,02,D4=D4+02 cents,turkish_hicaz_g_aeu_approx
D+4,D+4,14,D+4=D+4+14 cents,turkish_hicaz_g_aeu_approx
E4,E4,00,E4=E4+00 cents,turkish_hicaz_g_aeu_approx
F4,E4,88,F4=E4+88 cents,turkish_hicaz_g_aeu_approx
F+4,F+4,00,F+4=F+4+00 cents,turkish_hicaz_g_aeu_approx
G4,G4,00,G4=G4+00 cents,turkish_hicaz_g_aeu_approx
G+4,G+4,13,G+4=G+4+13 cents,turkish_hicaz_g_aeu_approx
A4,A4,00,A4=A4+00 cents,turkish_hicaz_g_aeu_approx
A+4,A+4,00,A+4=A+4+00 cents,turkish_hicaz_g_aeu_approx
B4,A+4,86,B4=A+4+86 cents,turkish_hicaz_g_aeu_approx
C5,B4,98,C5=B4+98 cents,turkish_hicaz_g_aeu_approx
C+5,C+5,00,C+5=C+5+00 cents,turkish_hicaz_g_aeu_approx
D5,D5,02,D5=D5+02 cents,turkish_hicaz_g_aeu_approx
D+5,D+5,14,D+5=D+5+14 cents,turkish_hicaz_g_aeu_approx
E5,E5,00,E5=E5+00 cents,turkish_hicaz_g_aeu_approx
F5,E5,88,F5=E5+88 cents,turkish_hicaz_g_aeu_approx
F+5,F+5,00,F+5=F+5+00 cents,turkish_hicaz_g_aeu_approx
G5,G5,00,G5=G5+00 cents,turkish_hicaz_g_aeu_approx
G+5,G+5,13,G+5=G+5+13 cents,turkish_hicaz_g_aeu_approx
A5,A5,00,A5=A5+00 cents,turkish_hicaz_g_aeu_approx
A+5,A+5,00,A+5=A+5+00 cents,turkish_hicaz_g_aeu_approx
B5,A+5,86,B5=A+5+86 cents,turkish_hicaz_g_aeu_approx
C6,B5,98,C6=B5+98 cents,turkish_hicaz_g_aeu_approx
C+6,C+6,00,C+6=C+6+00 cents,turkish_hicaz_g_aeu_approx
D6,D6,02,D6=D6+02 cents,turkish_hicaz_g_aeu_approx
D+6,D+6,14,D+6=D+6+14 cents,turkish_hicaz_g_aeu_approx
E6,E6,00,E6=E6+00 cents,turkish_hicaz_g_aeu_approx
F6,E6,88,F6=E6+88 cents,turkish_hicaz_g_aeu_approx
F+6,F+6,00,F+6=F+6+00 cents,turkish_hicaz_g_aeu_approx
G6,G6,00,G6=G6+00 cents,turkish_hicaz_g_aeu_approx
G+6,G+6,13,G+6=G+6+13 cents,turkish_hicaz_g_aeu_approx
A6,A6,00,A6=A6+00 cents,turkish_hicaz_g_aeu_approx
A+6,A+6,00,A+6=A+6+00 cents,turkish_hicaz_g_aeu_approx
B6,A+6,86,B6=A+6+86 cents,turkish_hicaz_g_aeu_approx
C7,B6,98,C7=B6+98 cents,turkish_hicaz_g_aeu_approx
